datetime,open,high,low,close,volume
2016-07-01 00:00:00,4.9888,4.9904,4.9855,4.9881,14
2016-07-01 00:05:00,4.9966,4.9966,4.9801,4.9829,16
2016-07-01 00:10:00,4.9854,4.9854,4.9791,4.9832,17
2016-07-01 00:15:00,4.9913,4.9913,4.9801,4.9834,18
2016-07-01 00:20:00,4.9847,4.9847,4.9815,4.9817,16
2016-07-01 00:25:00,4.9845,4.9846,4.9814,4.9818,16
2016-07-01 00:30:00,4.9848,4.9848,4.9813,4.9843,16
2016-07-01 00:35:00,4.9845,4.9849,4.9802,4.9825,19
2016-07-01 00:40:00,4.9824,4.9841,4.9801,4.9838,18
2016-07-01 00:45:00,4.9851,4.9867,4.982,4.9863,19
2016-07-01 00:50:00,4.9862,4.9871,4.9836,4.9869,19
2016-07-01 00:55:00,4.9874,4.9874,4.9819,4.984,20
2016-07-01 01:00:00,4.985,4.9895,4.985,4.9859,15
2016-07-01 01:05:00,4.9879,4.9901,4.9869,4.9898,20
2016-07-01 01:10:00,4.9902,4.9902,4.9876,4.9876,12
2016-07-01 01:15:00,4.9895,4.9895,4.9859,4.9874,14
2016-07-01 01:20:00,4.9875,4.988,4.9858,4.9858,19
2016-07-01 01:25:00,4.9872,4.9898,4.9849,4.9898,21
2016-07-01 01:30:00,4.991,4.9921,4.9896,4.9919,21
2016-07-01 01:35:00,4.9921,4.9934,4.9911,4.9927,20
2016-07-01 01:40:00,4.9937,4.9937,4.9884,4.9902,20
2016-07-01 01:45:00,4.9907,4.9934,4.9894,4.9915,20
2016-07-01 01:50:00,4.992,4.992,4.9907,4.9908,20
2016-07-01 01:55:00,4.9913,4.9913,4.988,4.9894,21
2016-07-01 02:00:00,4.9898,4.9902,4.9867,4.9872,20
2016-07-01 02:05:00,4.9876,4.9883,4.9866,4.9873,16
2016-07-01 02:10:00,4.9878,4.9878,4.9857,4.9865,18
2016-07-01 02:15:00,4.988,4.9907,4.9868,4.9891,17
2016-07-01 02:20:00,4.9907,4.9907,4.9883,4.9891,21
2016-07-01 02:25:00,4.9897,4.9912,4.9883,4.99,20
2016-07-01 02:30:00,4.9909,4.9909,4.9881,4.9883,20
2016-07-01 02:35:00,4.9891,4.9892,4.9866,4.9884,21
2016-07-01 02:40:00,4.9887,4.9889,4.9857,4.9857,20
2016-07-01 02:45:00,4.987,4.9892,4.9864,4.9875,19
2016-07-01 02:50:00,4.9879,4.9898,4.9873,4.9898,20
2016-07-01 02:55:00,4.9901,4.9901,4.9857,4.9858,20
2016-07-01 03:00:00,4.9875,4.9891,4.9848,4.9867,19
2016-07-01 03:05:00,4.9876,4.9892,4.9855,4.9885,21
2016-07-01 03:10:00,4.9883,4.9894,4.9863,4.9872,20
2016-07-01 03:15:00,4.9879,4.9893,4.9857,4.9857,19
2016-07-01 03:20:00,4.9868,4.9868,4.9825,4.9848,21
2016-07-01 03:25:00,4.9846,4.986,4.9833,4.9845,18
2016-07-01 03:30:00,4.9859,4.9868,4.9828,4.9831,21
2016-07-01 03:35:00,4.9849,4.9849,4.9811,4.9828,20
2016-07-01 03:40:00,4.9829,4.9846,4.9816,4.9846,18
2016-07-01 03:45:00,4.9848,4.9851,4.9819,4.9829,20
2016-07-01 03:50:00,4.9836,4.9862,4.9826,4.9862,19
2016-07-01 03:55:00,4.9871,4.9885,4.985,4.9851,20
2016-07-01 04:00:00,4.9862,4.9882,4.9832,4.9852,21
2016-07-01 04:05:00,4.9857,4.9857,4.9764,4.9785,20
2016-07-01 04:10:00,4.9788,4.9824,4.9779,4.9809,19
2016-07-01 04:15:00,4.9824,4.9846,4.9801,4.9804,20
2016-07-01 04:20:00,4.9811,4.9839,4.9809,4.9833,21
2016-07-01 04:25:00,4.9831,4.9853,4.9817,4.9843,19
2016-07-01 04:30:00,4.986,4.986,4.9817,4.982,19
2016-07-01 04:35:00,4.9836,4.9843,4.9801,4.9822,21
2016-07-01 04:40:00,4.9827,4.9841,4.9796,4.9819,20
2016-07-01 04:45:00,4.9817,4.983,4.978,4.9827,19
2016-07-01 04:50:00,4.9832,4.9871,4.9818,4.9865,21
2016-07-01 04:55:00,4.9857,4.9861,4.983,4.9842,20
2016-07-01 05:00:00,4.9855,4.9859,4.9829,4.9837,21
2016-07-01 05:05:00,4.9852,4.9867,4.9835,4.9867,19
2016-07-01 05:10:00,4.9869,4.9882,4.9854,4.9868,20
2016-07-01 05:15:00,4.9887,4.9889,4.9867,4.987,20
2016-07-01 05:20:00,4.9877,4.9891,4.9862,4.9883,20
2016-07-01 05:25:00,4.9889,4.9889,4.9871,4.9876,19
2016-07-01 05:30:00,4.9888,4.9893,4.9874,4.9878,17
2016-07-01 05:35:00,4.9891,4.9917,4.9885,4.9902,21
2016-07-01 05:40:00,4.9901,4.9916,4.9892,4.9914,17
2016-07-01 05:45:00,4.9915,4.993,4.9894,4.9915,21
2016-07-01 05:50:00,4.9927,4.9942,4.9912,4.9929,21
2016-07-01 05:55:00,4.9929,4.9939,4.9909,4.9919,19
2016-07-01 06:00:00,4.993,4.9975,4.9924,4.9964,19
2016-07-01 06:05:00,4.9978,4.9982,4.9938,4.9963,20
2016-07-01 06:10:00,4.9967,4.9975,4.9953,4.9953,18
2016-07-01 06:15:00,4.9968,4.9985,4.9959,4.997,18
2016-07-01 06:20:00,4.9991,5.0016,4.9974,5.0014,20
2016-07-01 06:25:00,5.0012,5.0037,4.9997,5.0024,20
2016-07-01 06:30:00,5.0036,5.0036,5.0,5.0,12
2016-07-01 06:35:00,5.0015,5.0015,4.9989,4.9993,17
2016-07-01 06:40:00,5.0005,5.0032,4.9989,5.0007,18
2016-07-01 06:45:00,5.0024,5.003,4.9999,5.001,20
2016-07-01 06:50:00,4.9968,5.0011,4.9968,4.9994,16
2016-07-01 06:55:00,4.9993,5.0015,4.9808,5.0015,18
2016-07-01 07:00:00,5.0026,5.003,4.9988,4.9988,19
2016-07-01 07:05:00,5.0003,5.0018,4.9986,4.9999,19
2016-07-01 07:10:00,5.0001,5.0001,4.9976,4.9993,20
