datetime,open,high,low,close,volume
2016-07-01 00:00:00,76.842,77.003,76.75,77.003,400
2016-07-01 00:05:00,76.865,76.988,76.744,76.805,2239
2016-07-01 00:10:00,76.82,76.963,76.782,76.812,1391
2016-07-01 00:15:00,76.82,76.968,76.784,76.818,1631
2016-07-01 00:20:00,76.82,76.965,76.787,76.846,1113
2016-07-01 00:25:00,76.846,76.954,76.807,76.926,1198
2016-07-01 00:30:00,76.86,76.98,76.835,76.87,1537
2016-07-01 00:35:00,76.869,76.984,76.83,76.867,1664
2016-07-01 00:40:00,76.87,76.987,76.838,76.85,2070
2016-07-01 00:45:00,76.845,76.974,76.837,76.886,1109
2016-07-01 00:50:00,76.896,76.975,76.84,76.892,1449
2016-07-01 00:55:00,76.878,76.972,76.842,76.86,1208
2016-07-01 01:00:00,76.858,76.934,76.827,76.883,5138
2016-07-01 01:05:00,76.883,76.911,76.836,76.885,3619
2016-07-01 01:10:00,76.89,76.906,76.847,76.883,3627
2016-07-01 01:15:00,76.884,76.892,76.844,76.879,2368
2016-07-01 01:20:00,76.9,76.9,76.85,76.873,2930
2016-07-01 01:25:00,76.861,76.894,76.836,76.89,3126
2016-07-01 01:30:00,76.871,76.919,76.847,76.89,2798
2016-07-01 01:35:00,76.902,76.91,76.849,76.881,2261
2016-07-01 01:40:00,76.881,76.923,76.849,76.909,3080
2016-07-01 01:45:00,76.917,76.951,76.87,76.899,3232
2016-07-01 01:50:00,76.887,76.919,76.86,76.883,2258
2016-07-01 01:55:00,76.883,76.903,76.82,76.853,2720
2016-07-01 02:00:00,76.851,76.909,76.826,76.856,3907
2016-07-01 02:05:00,76.856,76.924,76.83,76.924,2510
2016-07-01 02:10:00,76.919,76.946,76.82,76.854,1883
2016-07-01 02:15:00,76.85,76.946,76.83,76.881,2025
2016-07-01 02:20:00,76.882,76.911,76.827,76.85,3115
2016-07-01 02:25:00,76.85,76.891,76.807,76.847,2721
2016-07-01 02:30:00,76.841,76.877,76.81,76.848,2322
2016-07-01 02:35:00,76.856,76.869,76.8,76.836,1913
2016-07-01 02:40:00,76.84,76.869,76.769,76.779,3110
2016-07-01 02:45:00,76.795,76.87,76.77,76.822,3432
2016-07-01 02:50:00,76.825,76.865,76.78,76.81,3508
2016-07-01 02:55:00,76.813,76.859,76.73,76.75,4626
2016-07-01 03:00:00,76.758,76.852,76.72,76.764,7843
2016-07-01 03:05:00,76.748,76.892,76.71,76.825,6782
2016-07-01 03:10:00,76.83,76.903,76.77,76.805,6177
2016-07-01 03:15:00,76.8,76.861,76.73,76.766,7227
2016-07-01 03:20:00,76.767,76.853,76.68,76.757,5955
2016-07-01 03:25:00,76.751,76.854,76.727,76.785,3965
