datetime,open,high,low,close,volume
2016-07-01 00:00:00,6.2326,6.2326,6.2326,6.2326,1
2016-07-01 00:05:00,6.2334,6.2334,6.2278,6.2278,2
2016-07-01 00:10:00,6.2271,6.2271,6.2271,6.2271,1
2016-07-01 00:15:00,6.2263,6.2263,6.2263,6.2263,1
2016-07-01 00:20:00,6.2205,6.2205,6.2205,6.2205,1
2016-07-01 00:25:00,6.2262,6.2262,6.2262,6.2262,1
2016-07-01 00:30:00,6.2263,6.2263,6.2263,6.2263,1
2016-07-01 00:35:00,6.2252,6.2252,6.2252,6.2252,1
2016-07-01 00:40:00,6.2208,6.2208,6.2208,6.2208,1
2016-07-01 00:45:00,6.2206,6.2206,6.2206,6.2206,1
2016-07-01 00:50:00,6.2234,6.2234,6.2234,6.2234,1
2016-07-01 00:55:00,6.2264,6.2264,6.2264,6.2264,1
2016-07-01 01:00:00,6.2235,6.2235,6.2235,6.2235,1
2016-07-01 01:05:00,6.2268,6.2268,6.2268,6.2268,1
2016-07-01 01:10:00,6.2268,6.2268,6.2268,6.2268,1
2016-07-01 01:15:00,6.2284,6.2284,6.2284,6.2284,1
2016-07-01 01:20:00,6.2265,6.2265,6.2265,6.2265,1
2016-07-01 01:25:00,6.225,6.225,6.2204,6.2204,4
2016-07-01 01:30:00,6.2291,6.2291,6.2246,6.2251,6
2016-07-01 01:35:00,6.23,6.23,6.2265,6.2274,4
2016-07-01 01:40:00,6.2312,6.2312,6.2227,6.2236,9
2016-07-01 01:45:00,6.2275,6.2285,6.2249,6.2259,7
2016-07-01 01:50:00,6.2297,6.2297,6.2257,6.2257,5
2016-07-01 01:55:00,6.229,6.229,6.2229,6.2234,7
2016-07-01 02:00:00,6.2272,6.2272,6.2221,6.2221,10
2016-07-01 02:05:00,6.2243,6.2243,6.2214,6.2214,7
2016-07-01 02:10:00,6.2242,6.2242,6.22,6.2204,5
2016-07-01 02:15:00,6.2242,6.2252,6.2216,6.2245,6
2016-07-01 02:20:00,6.2281,6.2281,6.2238,6.2238,4
2016-07-01 02:25:00,6.2274,6.2274,6.2245,6.2255,4
2016-07-01 02:30:00,6.2294,6.2294,6.2243,6.2243,3
2016-07-01 02:35:00,6.2272,6.2272,6.2223,6.2226,4
2016-07-01 02:40:00,6.2264,6.2264,6.2223,6.2223,7
2016-07-01 02:45:00,6.225,6.225,6.2216,6.2236,6
2016-07-01 02:50:00,6.2245,6.2247,6.2222,6.2247,5
2016-07-01 02:55:00,6.2279,6.2279,6.2215,6.2215,7
2016-07-01 03:00:00,6.2246,6.2246,6.219,6.2211,9
2016-07-01 03:05:00,6.2235,6.2235,6.2199,6.2222,9
2016-07-01 03:10:00,6.2242,6.2242,6.2209,6.2224,8
2016-07-01 03:15:00,6.2238,6.2238,6.2219,6.2219,8
2016-07-01 03:20:00,6.2246,6.2246,6.2183,6.2183,10
2016-07-01 03:25:00,6.2215,6.2215,6.2177,6.219,6
2016-07-01 03:30:00,6.2218,6.2218,6.2172,6.2172,5
2016-07-01 03:35:00,6.2213,6.2213,6.215,6.2161,9
2016-07-01 03:40:00,6.2191,6.2191,6.2162,6.2185,8
2016-07-01 03:45:00,6.2213,6.2213,6.2166,6.2175,8
2016-07-01 03:50:00,6.2198,6.2198,6.2171,6.2191,9
2016-07-01 03:55:00,6.2214,6.2214,6.22,6.22,6
2016-07-01 04:00:00,6.2222,6.2222,6.217,6.2205,10
2016-07-01 04:05:00,6.2217,6.2217,6.2113,6.2126,11
2016-07-01 04:10:00,6.2161,6.2168,6.2131,6.2145,8
2016-07-01 04:15:00,6.2193,6.2193,6.215,6.2156,9
2016-07-01 04:20:00,6.2148,6.2181,6.2148,6.2176,8
2016-07-01 04:25:00,6.2209,6.2209,6.2181,6.2203,6
2016-07-01 04:30:00,6.2238,6.2238,6.2165,6.2173,8
2016-07-01 04:35:00,6.2214,6.2214,6.2178,6.2178,2
2016-07-01 04:40:00,6.2202,6.2202,6.2202,6.2202,1
2016-07-01 04:45:00,6.2245,6.2245,6.2146,6.217,4
2016-07-01 04:50:00,6.2203,6.2209,6.2176,6.2202,8
2016-07-01 04:55:00,6.2224,6.2224,6.218,6.2195,10
2016-07-01 05:00:00,6.2228,6.2228,6.2177,6.2187,8
2016-07-01 05:05:00,6.2217,6.2217,6.2191,6.2206,6
2016-07-01 05:10:00,6.2244,6.2244,6.2211,6.2223,9
2016-07-01 05:15:00,6.2255,6.2255,6.222,6.2228,9
2016-07-01 05:20:00,6.2242,6.2242,6.2214,6.2214,7
2016-07-01 05:25:00,6.2251,6.2251,6.2215,6.2222,6
2016-07-01 05:30:00,6.2244,6.2244,6.2218,6.2219,5
2016-07-01 05:35:00,6.2246,6.2249,6.2225,6.2237,10
2016-07-01 05:40:00,6.226,6.226,6.2228,6.2246,8
2016-07-01 05:45:00,6.228,6.228,6.2235,6.2258,9
2016-07-01 05:50:00,6.2284,6.2284,6.2256,6.2263,8
2016-07-01 05:55:00,6.2291,6.2291,6.2254,6.2261,9
2016-07-01 06:00:00,6.2297,6.2319,6.2268,6.2319,7
2016-07-01 06:05:00,6.2341,6.2341,6.227,6.2291,9
2016-07-01 06:10:00,6.2322,6.2322,6.2299,6.2299,7
2016-07-01 06:15:00,6.2326,6.2326,6.2303,6.2319,7
2016-07-01 06:20:00,6.2361,6.2364,6.2324,6.2364,6
2016-07-01 06:25:00,6.2394,6.2394,6.2351,6.2388,9
2016-07-01 06:30:00,6.2419,6.2419,6.2367,6.237,7
2016-07-01 06:35:00,6.2397,6.2397,6.2354,6.2354,9
2016-07-01 06:40:00,6.2382,6.2382,6.2358,6.2379,8
2016-07-01 06:45:00,6.2406,6.2406,6.2362,6.2367,5
2016-07-01 06:50:00,6.2386,6.2386,6.2342,6.2342,7
2016-07-01 06:55:00,6.2376,6.2376,6.2355,6.2369,7
2016-07-01 07:00:00,6.241,6.241,6.2352,6.2352,9
2016-07-01 07:05:00,6.2384,6.2384,6.2348,6.2348,7
2016-07-01 07:10:00,6.2377,6.2377,6.2339,6.2339,5
2016-07-01 07:15:00,6.2375,6.2375,6.2349,6.2359,6
2016-07-01 07:20:00,6.2385,6.2385,6.2345,6.2345,8
2016-07-01 07:25:00,6.2374,6.2374,6.2353,6.2368,5
2016-07-01 07:30:00,6.2404,6.2404,6.2369,6.2379,9
2016-07-01 07:35:00,6.2408,6.2408,6.2342,6.2342,9
2016-07-01 07:40:00,6.2373,6.2373,6.2333,6.2365,8
2016-07-01 07:45:00,6.2396,6.2396,6.2365,6.2383,6
2016-07-01 07:50:00,6.2403,6.2404,6.2377,6.2396,8
2016-07-01 07:55:00,6.2426,6.243,6.2406,6.2406,11
2016-07-01 08:00:00,6.2435,6.2435,6.2395,6.2395,3
2016-07-01 08:05:00,6.2422,6.2424,6.2389,6.2403,8
2016-07-01 08:10:00,6.2429,6.2429,6.2392,6.24,6
2016-07-01 08:15:00,6.2429,6.2429,6.2404,6.2415,4
2016-07-01 08:20:00,6.2444,6.2444,6.24,6.24,7
2016-07-01 08:25:00,6.2364,6.2417,6.2364,6.2417,5
2016-07-01 08:30:00,6.2451,6.2451,6.2393,6.2402,7
2016-07-01 08:35:00,6.2429,6.2429,6.2397,6.2412,5
2016-07-01 08:40:00,6.2433,6.2433,6.2414,6.2421,8
2016-07-01 08:45:00,6.2446,6.2446,6.2413,6.2444,8
