datetime,open,high,low,close,volume
2016-07-01 00:00:00,6.2952,6.2952,6.2905,6.2906,9
2016-07-01 00:05:00,6.2993,6.2993,6.283,6.283,9
2016-07-01 00:10:00,6.2946,6.2946,6.2826,6.2826,9
2016-07-01 00:15:00,6.2918,6.2918,6.2829,6.2834,9
2016-07-01 00:20:00,6.2876,6.2876,6.283,6.2831,11
2016-07-01 00:25:00,6.2907,6.2907,6.2827,6.2834,10
2016-07-01 00:30:00,6.2871,6.2871,6.2807,6.2857,10
2016-07-01 00:35:00,6.2898,6.2898,6.2784,6.2784,10
2016-07-01 00:40:00,6.285,6.285,6.2778,6.2801,10
2016-07-01 00:45:00,6.2862,6.2862,6.2798,6.2831,10
2016-07-01 00:50:00,6.2881,6.2881,6.2818,6.2831,10
2016-07-01 00:55:00,6.2896,6.2896,6.2785,6.2788,11
2016-07-01 01:00:00,6.2956,6.2956,6.2862,6.2894,9
2016-07-01 01:05:00,6.2904,6.2941,6.29,6.2936,11
2016-07-01 01:10:00,6.2925,6.2939,6.2909,6.2909,11
2016-07-01 01:15:00,6.2904,6.2905,6.2885,6.2896,10
2016-07-01 01:20:00,6.2898,6.2898,6.2884,6.2884,9
2016-07-01 01:25:00,6.2879,6.2931,6.2874,6.2931,9
2016-07-01 01:30:00,6.2929,6.296,6.2929,6.2954,11
2016-07-01 01:35:00,6.2948,6.298,6.2948,6.298,11
2016-07-01 01:40:00,6.2965,6.2975,6.2931,6.2935,10
2016-07-01 01:45:00,6.2932,6.2987,6.2932,6.2963,10
2016-07-01 01:50:00,6.2913,6.2972,6.2913,6.2967,9
2016-07-01 01:55:00,6.2937,6.2959,6.2927,6.2936,11
2016-07-01 02:00:00,6.2916,6.2948,6.2916,6.2919,10
2016-07-01 02:05:00,6.29,6.2944,6.29,6.2935,10
2016-07-01 02:10:00,6.2918,6.2934,6.2914,6.2925,10
2016-07-01 02:15:00,6.2906,6.298,6.2906,6.2968,8
2016-07-01 02:20:00,6.2946,6.2969,6.2946,6.2963,8
2016-07-01 02:25:00,6.2947,6.2986,6.2947,6.2983,11
2016-07-01 02:30:00,6.2967,6.2984,6.2963,6.2967,11
2016-07-01 02:35:00,6.2946,6.2966,6.2946,6.2954,9
2016-07-01 02:40:00,6.2917,6.2956,6.2917,6.2937,9
2016-07-01 02:45:00,6.2911,6.2966,6.2911,6.2955,10
2016-07-01 02:50:00,6.2914,6.297,6.2914,6.297,10
2016-07-01 02:55:00,6.2937,6.2963,6.2928,6.2928,10
2016-07-01 03:00:00,6.2896,6.294,6.2896,6.2935,9
2016-07-01 03:05:00,6.2907,6.2957,6.2907,6.2957,10
2016-07-01 03:10:00,6.293,6.2963,6.293,6.2944,11
2016-07-01 03:15:00,6.2909,6.2959,6.2909,6.2937,9
2016-07-01 03:20:00,6.2917,6.2924,6.2895,6.2905,10
2016-07-01 03:25:00,6.2875,6.2914,6.2875,6.2912,9
2016-07-01 03:30:00,6.289,6.2926,6.289,6.2901,11
2016-07-01 03:35:00,6.2877,6.29,6.2877,6.2884,10
2016-07-01 03:40:00,6.2857,6.2909,6.2857,6.2909,10
2016-07-01 03:45:00,6.289,6.2922,6.289,6.2914,10
2016-07-01 03:50:00,6.2887,6.2943,6.2887,6.2943,11
2016-07-01 03:55:00,6.2939,6.2967,6.2939,6.2946,11
2016-07-01 04:00:00,6.2923,6.2955,6.2908,6.294,11
2016-07-01 04:05:00,6.2917,6.2926,6.2841,6.2849,11
2016-07-01 04:10:00,6.2841,6.2895,6.2841,6.2895,11
2016-07-01 04:15:00,6.2877,6.2912,6.2877,6.2884,10
2016-07-01 04:20:00,6.2859,6.2908,6.2859,6.2907,11
