datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.0033,1.0033,1.0013,1.0017,19
2016-07-01 00:05:00,1.0017,1.0034,1.0003,1.0022,204
2016-07-01 00:10:00,1.0021,1.0025,1.0005,1.0024,183
2016-07-01 00:15:00,1.0025,1.0026,1.0015,1.0026,244
2016-07-01 00:20:00,1.0026,1.0026,1.002,1.0026,135
2016-07-01 00:25:00,1.0026,1.0026,1.002,1.0026,137
2016-07-01 00:30:00,1.0026,1.0027,1.0019,1.0023,164
2016-07-01 00:35:00,1.0023,1.0025,1.0016,1.002,192
2016-07-01 00:40:00,1.002,1.002,1.0015,1.0019,104
2016-07-01 00:45:00,1.002,1.0024,1.0015,1.0016,109
2016-07-01 00:50:00,1.0021,1.0028,1.0016,1.0026,193
2016-07-01 00:55:00,1.0026,1.0026,1.0017,1.0021,186
2016-07-01 01:00:00,1.0026,1.0036,1.0022,1.003,807
2016-07-01 01:05:00,1.0031,1.0036,1.0026,1.0032,535
2016-07-01 01:10:00,1.0033,1.0038,1.003,1.0036,550
2016-07-01 01:15:00,1.0036,1.0036,1.003,1.0035,310
2016-07-01 01:20:00,1.0032,1.0036,1.0031,1.0035,455
2016-07-01 01:25:00,1.0032,1.0039,1.003,1.0036,580
2016-07-01 01:30:00,1.0039,1.0039,1.0033,1.0035,409
2016-07-01 01:35:00,1.0037,1.0038,1.0033,1.0037,288
2016-07-01 01:40:00,1.0037,1.004,1.0031,1.004,345
2016-07-01 01:45:00,1.004,1.0047,1.0035,1.0042,453
2016-07-01 01:50:00,1.0042,1.0044,1.0038,1.0042,173
2016-07-01 01:55:00,1.0042,1.0042,1.0035,1.0039,231
2016-07-01 02:00:00,1.0039,1.0041,1.0033,1.0036,406
2016-07-01 02:05:00,1.0036,1.0037,1.0031,1.0032,273
2016-07-01 02:10:00,1.0031,1.0034,1.0029,1.0031,150
2016-07-01 02:15:00,1.0034,1.004,1.0031,1.0036,294
2016-07-01 02:20:00,1.0039,1.0039,1.0032,1.0036,228
2016-07-01 02:25:00,1.0034,1.0039,1.0033,1.0039,220
2016-07-01 02:30:00,1.0039,1.0039,1.0033,1.0036,194
2016-07-01 02:35:00,1.0033,1.0037,1.003,1.0037,234
2016-07-01 02:40:00,1.0037,1.0037,1.0031,1.0032,306
2016-07-01 02:45:00,1.0032,1.0038,1.0031,1.0038,386
2016-07-01 02:50:00,1.0038,1.0039,1.0033,1.0038,366
2016-07-01 02:55:00,1.0037,1.0038,1.0029,1.003,582
2016-07-01 03:00:00,1.0032,1.0034,1.0027,1.003,904
2016-07-01 03:05:00,1.003,1.0035,1.0027,1.0033,538
2016-07-01 03:10:00,1.0034,1.0038,1.0029,1.0031,649
2016-07-01 03:15:00,1.0031,1.0037,1.0028,1.0035,610
2016-07-01 03:20:00,1.0036,1.0036,1.0027,1.0031,605
2016-07-01 03:25:00,1.0031,1.0032,1.0024,1.0026,470
2016-07-01 03:30:00,1.0026,1.0029,1.0017,1.0023,442
2016-07-01 03:35:00,1.0023,1.0023,1.0012,1.0016,493
2016-07-01 03:40:00,1.0014,1.0023,1.0012,1.0023,424
2016-07-01 03:45:00,1.0021,1.0023,1.0016,1.0018,504
2016-07-01 03:50:00,1.0021,1.0029,1.0017,1.0028,557
2016-07-01 03:55:00,1.0028,1.003,1.0009,1.0024,792
