datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.3798,1.3798,1.3774,1.3787,11
2016-07-01 00:05:00,1.3797,1.38,1.3787,1.379,27
2016-07-01 00:10:00,1.38,1.3804,1.3789,1.3795,53
2016-07-01 00:15:00,1.3802,1.3802,1.3788,1.38,43
2016-07-01 00:20:00,1.3799,1.3804,1.3784,1.3797,43
2016-07-01 00:25:00,1.3806,1.3806,1.3781,1.3791,59
2016-07-01 00:30:00,1.38,1.3802,1.3784,1.3796,50
2016-07-01 00:35:00,1.38,1.3802,1.3753,1.3797,67
2016-07-01 00:40:00,1.3801,1.3801,1.3787,1.3787,71
2016-07-01 00:45:00,1.3797,1.3799,1.3784,1.3799,87
2016-07-01 00:50:00,1.3797,1.3799,1.3784,1.3786,72
2016-07-01 00:55:00,1.3799,1.3799,1.3737,1.3788,87
2016-07-01 01:00:00,1.3796,1.3797,1.3744,1.3775,195
2016-07-01 01:05:00,1.3796,1.38,1.3767,1.3798,104
2016-07-01 01:10:00,1.3795,1.3802,1.3773,1.38,193
2016-07-01 01:15:00,1.3797,1.3801,1.3773,1.3797,137
2016-07-01 01:20:00,1.3795,1.3801,1.378,1.3799,109
2016-07-01 01:25:00,1.3798,1.38,1.3782,1.3787,159
2016-07-01 01:30:00,1.3794,1.3798,1.3781,1.3793,206
2016-07-01 01:35:00,1.3792,1.3794,1.3781,1.3784,128
2016-07-01 01:40:00,1.3789,1.3799,1.3784,1.3795,215
2016-07-01 01:45:00,1.3796,1.3804,1.3788,1.3803,279
2016-07-01 01:50:00,1.3801,1.3803,1.3781,1.3797,151
2016-07-01 01:55:00,1.3795,1.3798,1.3785,1.3796,127
2016-07-01 02:00:00,1.3793,1.3798,1.3779,1.3796,213
2016-07-01 02:05:00,1.3793,1.3797,1.3787,1.3794,178
2016-07-01 02:10:00,1.3791,1.3795,1.3788,1.3793,122
2016-07-01 02:15:00,1.3791,1.3795,1.3788,1.3793,126
2016-07-01 02:20:00,1.3791,1.3795,1.3778,1.3792,127
2016-07-01 02:25:00,1.379,1.3792,1.3777,1.3786,154
2016-07-01 02:30:00,1.379,1.3795,1.3777,1.379,138
2016-07-01 02:35:00,1.3783,1.3798,1.3783,1.3793,128
2016-07-01 02:40:00,1.3795,1.3799,1.3783,1.3798,172
2016-07-01 02:45:00,1.3796,1.3799,1.379,1.3791,193
2016-07-01 02:50:00,1.3795,1.3798,1.379,1.3791,161
2016-07-01 02:55:00,1.3791,1.3798,1.3787,1.3793,137
2016-07-01 03:00:00,1.3797,1.3799,1.378,1.379,313
2016-07-01 03:05:00,1.3789,1.3795,1.3782,1.3789,247
2016-07-01 03:10:00,1.3791,1.3794,1.3779,1.3788,384
2016-07-01 03:15:00,1.3786,1.3797,1.3782,1.3794,384
2016-07-01 03:20:00,1.3798,1.3802,1.3785,1.3797,347
2016-07-01 03:25:00,1.3795,1.3798,1.3785,1.3788,345
2016-07-01 03:30:00,1.3785,1.3788,1.3773,1.3784,303
2016-07-01 03:35:00,1.378,1.3787,1.3773,1.3781,300
2016-07-01 03:40:00,1.3778,1.3785,1.3773,1.3784,287
2016-07-01 03:45:00,1.3781,1.3786,1.3777,1.3785,262
2016-07-01 03:50:00,1.3782,1.379,1.3778,1.3788,271
2016-07-01 03:55:00,1.3789,1.3791,1.3781,1.3787,351
2016-07-01 04:00:00,1.3785,1.3792,1.3783,1.3791,263
2016-07-01 04:05:00,1.3787,1.3796,1.3787,1.3792,315
2016-07-01 04:10:00,1.3789,1.3793,1.3785,1.3789,246
2016-07-01 04:15:00,1.3787,1.3794,1.3786,1.3794,232
2016-07-01 04:20:00,1.3791,1.3794,1.3788,1.3792,216
2016-07-01 04:25:00,1.379,1.3793,1.3785,1.379,170
2016-07-01 04:30:00,1.3787,1.3793,1.3785,1.379,218
2016-07-01 04:35:00,1.3787,1.3792,1.3782,1.3791,273
2016-07-01 04:40:00,1.38,1.38,1.3779,1.3789,152
2016-07-01 04:45:00,1.3789,1.3801,1.3789,1.3795,390
2016-07-01 04:50:00,1.3792,1.3795,1.3786,1.379,249
2016-07-01 04:55:00,1.3783,1.3793,1.3783,1.379,233
2016-07-01 05:00:00,1.379,1.3795,1.3786,1.3794,321
2016-07-01 05:05:00,1.3791,1.3797,1.3791,1.3794,217
2016-07-01 05:10:00,1.3791,1.3798,1.3791,1.3795,219
2016-07-01 05:15:00,1.3789,1.3796,1.3789,1.3794,254
2016-07-01 05:20:00,1.3791,1.3796,1.379,1.3795,122
2016-07-01 05:25:00,1.3794,1.3796,1.3792,1.3795,146
2016-07-01 05:30:00,1.3792,1.38,1.3792,1.3799,245
2016-07-01 05:35:00,1.3795,1.3798,1.3792,1.3797,249
2016-07-01 05:40:00,1.3794,1.3802,1.379,1.3794,314
2016-07-01 05:45:00,1.3791,1.3795,1.3784,1.3791,212
2016-07-01 05:50:00,1.3786,1.3792,1.3783,1.3787,201
2016-07-01 05:55:00,1.3786,1.3789,1.3786,1.3788,222
2016-07-01 06:00:00,1.3786,1.3789,1.3785,1.3787,213
2016-07-01 06:05:00,1.3781,1.3789,1.3781,1.3784,225
2016-07-01 06:10:00,1.3781,1.3787,1.3779,1.3786,144
2016-07-01 06:15:00,1.3783,1.3787,1.3781,1.3783,209
2016-07-01 06:20:00,1.3779,1.3783,1.3776,1.378,149
2016-07-01 06:25:00,1.3777,1.3781,1.3775,1.3777,177
2016-07-01 06:30:00,1.3773,1.3777,1.3769,1.3777,264
2016-07-01 06:35:00,1.3772,1.3777,1.3772,1.3775,260
2016-07-01 06:40:00,1.3772,1.3776,1.3765,1.3769,422
2016-07-01 06:45:00,1.3766,1.3776,1.3765,1.3773,241
2016-07-01 06:50:00,1.3772,1.3777,1.3768,1.3775,276
