datetime,open,high,low,close,volume
2016-07-01 00:00:00,7.3808,7.3808,7.3808,7.3808,1
2016-07-01 00:10:00,7.3809,7.3809,7.3809,7.3809,1
2016-07-01 00:15:00,7.3784,7.3784,7.3784,7.3784,1
2016-07-01 00:20:00,7.379,7.379,7.379,7.379,1
2016-07-01 00:25:00,7.3797,7.3797,7.3797,7.3797,1
2016-07-01 00:30:00,7.3788,7.3788,7.3788,7.3788,1
2016-07-01 00:35:00,7.3773,7.3773,7.3773,7.3773,1
2016-07-01 00:40:00,7.3778,7.3778,7.3778,7.3778,1
2016-07-01 00:45:00,7.3749,7.3749,7.3749,7.3749,1
2016-07-01 00:50:00,7.3757,7.3757,7.3757,7.3757,1
2016-07-01 03:00:00,7.3783,7.3783,7.3783,7.3783,1
2016-07-01 03:05:00,7.3776,7.3776,7.3776,7.3776,1
2016-07-01 03:10:00,7.3803,7.3803,7.3803,7.3803,1
2016-07-01 03:15:00,7.3813,7.3813,7.3813,7.3813,1
2016-07-01 03:20:00,7.386,7.386,7.386,7.386,1
2016-07-01 03:25:00,7.385,7.385,7.385,7.385,1
2016-07-01 03:30:00,7.3855,7.3855,7.3855,7.3855,1
2016-07-01 03:35:00,7.3869,7.3869,7.3869,7.3869,1
2016-07-01 03:40:00,7.3858,7.3858,7.3858,7.3858,1
2016-07-01 03:45:00,7.3851,7.3851,7.3851,7.3851,1
2016-07-01 03:50:00,7.3856,7.3856,7.3856,7.3856,1
2016-07-01 03:55:00,7.3838,7.3838,7.3838,7.3838,1
2016-07-01 04:00:00,7.3847,7.3847,7.3847,7.3847,1
2016-07-01 04:05:00,7.3863,7.3863,7.3863,7.3863,1
2016-07-01 04:10:00,7.3862,7.3862,7.3862,7.3862,1
2016-07-01 04:15:00,7.385,7.385,7.385,7.385,1
2016-07-01 04:20:00,7.3856,7.3856,7.3856,7.3856,1
2016-07-01 04:45:00,7.3862,7.3862,7.3862,7.3862,1
2016-07-01 04:50:00,7.3892,7.3892,7.3892,7.3892,1
2016-07-01 04:55:00,7.388,7.388,7.388,7.388,1
2016-07-01 05:00:00,7.3872,7.3872,7.3872,7.3872,1
2016-07-01 05:05:00,7.388,7.388,7.388,7.388,1
2016-07-01 05:10:00,7.3863,7.3863,7.3863,7.3863,1
2016-07-01 05:15:00,7.3858,7.3858,7.3858,7.3858,1
2016-07-01 05:20:00,7.387,7.387,7.387,7.387,1
2016-07-01 05:25:00,7.3867,7.3867,7.3867,7.3867,1
2016-07-01 05:30:00,7.3857,7.3857,7.3857,7.3857,1
2016-07-01 05:35:00,7.3871,7.3871,7.3871,7.3871,1
2016-07-01 05:40:00,7.3864,7.3864,7.3864,7.3864,1
2016-07-01 05:45:00,7.3854,7.3854,7.3854,7.3854,1
2016-07-01 05:50:00,7.3853,7.3853,7.3853,7.3853,1
2016-07-01 05:55:00,7.3856,7.3856,7.3856,7.3856,1
2016-07-01 06:00:00,7.3869,7.3869,7.3869,7.3869,1
2016-07-01 06:05:00,7.3874,7.3874,7.3874,7.3874,1
2016-07-01 06:10:00,7.3862,7.3862,7.3862,7.3862,1
2016-07-01 06:15:00,7.3863,7.3863,7.3863,7.3863,1
2016-07-01 06:20:00,7.3856,7.3856,7.3856,7.3856,1
2016-07-01 06:25:00,7.3853,7.3853,7.3853,7.3853,1
2016-07-01 06:30:00,7.3827,7.3827,7.3827,7.3827,1
2016-07-01 06:35:00,7.3788,7.3788,7.3788,7.3788,1
2016-07-01 06:40:00,7.3795,7.3795,7.3795,7.3795,1
2016-07-01 06:45:00,7.3763,7.3763,7.3763,7.3763,1
2016-07-01 06:50:00,7.3758,7.3758,7.3758,7.3758,1
2016-07-01 06:55:00,7.3728,7.3728,7.3728,7.3728,1
2016-07-01 07:00:00,7.3745,7.3745,7.3745,7.3745,1
2016-07-01 07:05:00,7.374,7.374,7.374,7.374,1
2016-07-01 07:10:00,7.3729,7.3729,7.3729,7.3729,1
2016-07-01 07:15:00,7.3744,7.3744,7.3744,7.3744,1
2016-07-01 07:20:00,7.3835,7.3835,7.3835,7.3835,1
2016-07-01 07:25:00,7.3744,7.3744,7.3744,7.3744,1
2016-07-01 07:30:00,7.3765,7.3765,7.3765,7.3765,1
2016-07-01 07:35:00,7.3776,7.3776,7.3776,7.3776,1
2016-07-01 07:40:00,7.3769,7.3769,7.3769,7.3769,1
