datetime,open,high,low,close,volume
2016-07-01 00:00:00,8.6175,8.6175,8.6058,8.613,30
2016-07-01 00:05:00,8.6147,8.6166,8.6113,8.616,48
2016-07-01 00:10:00,8.6183,8.6183,8.6141,8.6176,45
2016-07-01 00:15:00,8.617,8.6175,8.6111,8.6134,68
2016-07-01 00:20:00,8.6151,8.6154,8.6132,8.6144,40
2016-07-01 00:25:00,8.6137,8.6158,8.6098,8.6142,48
2016-07-01 00:30:00,8.6153,8.6155,8.612,8.6123,50
2016-07-01 00:35:00,8.612,8.6141,8.6118,8.6129,36
2016-07-01 00:40:00,8.6139,8.6139,8.6072,8.6092,64
2016-07-01 00:45:00,8.6085,8.6113,8.6084,8.6109,52
2016-07-01 00:50:00,8.6115,8.6117,8.6091,8.6102,51
2016-07-01 00:55:00,8.6111,8.6152,8.61,8.6137,57
2016-07-01 01:00:00,8.6038,8.6132,8.6038,8.6108,52
2016-07-01 01:05:00,8.6105,8.6116,8.609,8.6099,68
2016-07-01 01:10:00,8.6114,8.613,8.609,8.6115,106
2016-07-01 01:15:00,8.612,8.6155,8.612,8.6155,156
2016-07-01 01:20:00,8.6163,8.6177,8.6138,8.6173,130
2016-07-01 01:25:00,8.6169,8.6184,8.612,8.612,198
2016-07-01 01:30:00,8.6126,8.6146,8.6084,8.612,210
2016-07-01 01:35:00,8.6107,8.6122,8.6072,8.6087,160
2016-07-01 01:40:00,8.6091,8.6152,8.6072,8.6129,116
2016-07-01 01:45:00,8.6124,8.6134,8.6098,8.6098,144
2016-07-01 01:50:00,8.6111,8.6121,8.609,8.6107,105
2016-07-01 01:55:00,8.609,8.613,8.6083,8.6121,99
2016-07-01 02:00:00,8.6121,8.6191,8.609,8.6174,232
2016-07-01 02:05:00,8.6175,8.6177,8.6145,8.6167,94
2016-07-01 02:10:00,8.6166,8.6176,8.615,8.617,139
2016-07-01 02:15:00,8.6166,8.6174,8.6151,8.6164,137
2016-07-01 02:20:00,8.6169,8.6176,8.6156,8.6176,107
2016-07-01 02:25:00,8.6168,8.6176,8.6141,8.6169,138
2016-07-01 02:30:00,8.6169,8.618,8.6161,8.6171,80
2016-07-01 02:35:00,8.617,8.618,8.6132,8.6178,83
2016-07-01 02:40:00,8.6178,8.6182,8.6151,8.6181,116
2016-07-01 02:45:00,8.6169,8.6188,8.6164,8.6166,136
2016-07-01 02:50:00,8.6181,8.6181,8.6153,8.6166,117
2016-07-01 02:55:00,8.6153,8.6176,8.6142,8.6143,120
2016-07-01 03:00:00,8.6144,8.6171,8.6133,8.6145,197
2016-07-01 03:05:00,8.6146,8.6177,8.6135,8.6177,187
2016-07-01 03:10:00,8.6176,8.6205,8.6168,8.6186,210
2016-07-01 03:15:00,8.6184,8.6243,8.6174,8.6237,210
2016-07-01 03:20:00,8.6236,8.6239,8.6209,8.6219,172
2016-07-01 03:25:00,8.6218,8.6235,8.6218,8.6224,93
2016-07-01 03:30:00,8.623,8.6238,8.6219,8.6237,106
2016-07-01 03:35:00,8.6231,8.6239,8.6217,8.6232,106
2016-07-01 03:40:00,8.6234,8.6234,8.6208,8.6223,136
2016-07-01 03:45:00,8.6224,8.623,8.621,8.6223,137
2016-07-01 03:50:00,8.6232,8.6232,8.6181,8.6202,209
2016-07-01 03:55:00,8.6185,8.6228,8.6185,8.6205,160
2016-07-01 04:00:00,8.6224,8.625,8.6184,8.6238,162
2016-07-01 04:05:00,8.6233,8.6248,8.6213,8.623,150
2016-07-01 04:10:00,8.6234,8.6246,8.6208,8.6223,151
2016-07-01 04:15:00,8.6219,8.6233,8.6198,8.6232,108
2016-07-01 04:20:00,8.6237,8.6237,8.6217,8.6229,116
2016-07-01 04:25:00,8.6231,8.6233,8.6197,8.6199,91
2016-07-01 04:30:00,8.6198,8.6225,8.6191,8.6212,137
2016-07-01 04:35:00,8.6208,8.6209,8.6158,8.6191,148
2016-07-01 04:40:00,8.619,8.6198,8.6172,8.6187,163
2016-07-01 04:45:00,8.6175,8.6217,8.6172,8.6181,219
2016-07-01 04:50:00,8.6179,8.6188,8.6132,8.6152,215
2016-07-01 04:55:00,8.6153,8.6168,8.6139,8.6143,155
2016-07-01 05:00:00,8.6144,8.6162,8.6139,8.6148,124
2016-07-01 05:05:00,8.6147,8.6152,8.613,8.6134,97
2016-07-01 05:10:00,8.6132,8.614,8.6118,8.6125,99
2016-07-01 05:15:00,8.6122,8.6155,8.6122,8.6134,118
2016-07-01 05:20:00,8.6137,8.6162,8.6124,8.6135,86
2016-07-01 05:25:00,8.6132,8.6139,8.6117,8.6126,98
2016-07-01 05:30:00,8.6125,8.6145,8.612,8.6145,90
2016-07-01 05:35:00,8.6141,8.6147,8.612,8.6143,87
2016-07-01 05:40:00,8.6138,8.6146,8.612,8.6125,87
2016-07-01 05:45:00,8.6129,8.6145,8.6115,8.6125,131
2016-07-01 05:50:00,8.6127,8.6135,8.6109,8.6127,120
2016-07-01 05:55:00,8.6128,8.6144,8.6118,8.6134,99
2016-07-01 06:00:00,8.6143,8.6157,8.6133,8.6149,102
2016-07-01 06:05:00,8.6157,8.6158,8.6132,8.614,78
2016-07-01 06:10:00,8.6145,8.6149,8.6132,8.6134,78
2016-07-01 06:15:00,8.6145,8.6146,8.6127,8.6133,107
2016-07-01 06:20:00,8.6132,8.6135,8.6117,8.6122,72
2016-07-01 06:25:00,8.6132,8.6137,8.609,8.6099,105
2016-07-01 06:30:00,8.6099,8.6141,8.6083,8.6092,128
2016-07-01 06:35:00,8.6092,8.6104,8.6084,8.6099,81
2016-07-01 06:40:00,8.61,8.6107,8.605,8.6057,181
2016-07-01 06:45:00,8.6059,8.6068,8.6041,8.6054,129
2016-07-01 06:50:00,8.6054,8.6057,8.6031,8.6037,125
2016-07-01 06:55:00,8.6037,8.6052,8.6031,8.6038,138
2016-07-01 07:00:00,8.6041,8.6042,8.6013,8.6036,125
2016-07-01 07:05:00,8.6036,8.6047,8.6025,8.6036,99
2016-07-01 07:10:00,8.6042,8.6051,8.6033,8.6041,81
2016-07-01 07:15:00,8.604,8.6047,8.6027,8.6036,87
2016-07-01 07:20:00,8.6144,8.6144,8.603,8.6057,138
2016-07-01 07:25:00,8.6058,8.607,8.6047,8.6066,111
2016-07-01 07:30:00,8.6066,8.6083,8.6054,8.6078,100
2016-07-01 07:35:00,8.6081,8.6086,8.6058,8.6075,149
2016-07-01 07:40:00,8.6071,8.6082,8.6056,8.6074,117
2016-07-01 07:45:00,8.6071,8.6097,8.6065,8.6092,126
2016-07-01 07:50:00,8.6093,8.6108,8.6072,8.6098,160
2016-07-01 07:55:00,8.61,8.612,8.6089,8.6114,132
2016-07-01 08:00:00,8.6114,8.612,8.6077,8.6086,125
2016-07-01 08:05:00,8.609,8.6091,8.6066,8.608,115
2016-07-01 08:10:00,8.6087,8.6132,8.6073,8.6079,108
2016-07-01 08:15:00,8.6088,8.6097,8.6049,8.6052,142
2016-07-01 08:20:00,8.6056,8.6063,8.6042,8.6052,135
2016-07-01 08:25:00,8.605,8.6062,8.6042,8.6052,86
2016-07-01 08:30:00,8.605,8.6073,8.6042,8.6063,127
2016-07-01 08:35:00,8.6068,8.6071,8.6055,8.6067,105
2016-07-01 08:40:00,8.6069,8.6091,8.6036,8.6036,127
2016-07-01 08:45:00,8.6039,8.6046,8.5983,8.6006,211
2016-07-01 08:50:00,8.6006,8.6021,8.5987,8.6006,158
2016-07-01 08:55:00,8.6008,8.6008,8.5951,8.596,408
2016-07-01 09:00:00,8.5961,8.5961,8.592,8.5942,307
2016-07-01 09:05:00,8.5941,8.5966,8.591,8.5953,337
2016-07-01 09:10:00,8.5955,8.5996,8.594,8.5975,322
2016-07-01 09:15:00,8.598,8.5981,8.588,8.5899,455
2016-07-01 09:20:00,8.5897,8.5967,8.589,8.5966,351
2016-07-01 09:25:00,8.597,8.5994,8.5938,8.5962,331
2016-07-01 09:30:00,8.5959,8.6006,8.594,8.5998,336
2016-07-01 09:35:00,8.6001,8.6026,8.596,8.6024,248
2016-07-01 09:40:00,8.6028,8.6061,8.601,8.6043,326
2016-07-01 09:45:00,8.6043,8.6071,8.602,8.6059,251
2016-07-01 09:50:00,8.606,8.6062,8.601,8.6028,326
2016-07-01 09:55:00,8.6029,8.6033,8.599,8.6017,266
2016-07-01 10:00:00,8.602,8.6046,8.599,8.6043,413
2016-07-01 10:05:00,8.6045,8.6085,8.6045,8.6076,457
2016-07-01 10:10:00,8.6081,8.6107,8.606,8.6071,382
2016-07-01 10:15:00,8.608,8.608,8.604,8.6042,335
2016-07-01 10:20:00,8.6054,8.6084,8.603,8.6051,393
2016-07-01 10:25:00,8.6052,8.6053,8.6006,8.6022,337
2016-07-01 10:30:00,8.6026,8.6065,8.601,8.6061,329
2016-07-01 10:35:00,8.6062,8.617,8.603,8.6145,555
2016-07-01 10:40:00,8.6154,8.6234,8.6141,8.6201,588
2016-07-01 10:45:00,8.6203,8.6231,8.616,8.6168,463
2016-07-01 10:50:00,8.6179,8.6193,8.613,8.6165,413
2016-07-01 10:55:00,8.6166,8.6184,8.612,8.614,364
2016-07-01 11:00:00,8.6162,8.621,8.6147,8.6199,291
2016-07-01 11:05:00,8.6192,8.6205,8.612,8.6137,401
2016-07-01 11:10:00,8.6144,8.6158,8.611,8.6142,404
2016-07-01 11:15:00,8.6141,8.618,8.613,8.6148,354
2016-07-01 11:20:00,8.615,8.6211,8.6129,8.6173,405
2016-07-01 11:25:00,8.6177,8.6224,8.6169,8.6179,329
2016-07-01 11:30:00,8.6173,8.6194,8.613,8.6161,385
2016-07-01 11:35:00,8.6159,8.6195,8.6125,8.6134,477
2016-07-01 11:40:00,8.6134,8.6134,8.6089,8.6103,376
2016-07-01 11:45:00,8.6097,8.6131,8.6067,8.6083,430
2016-07-01 11:50:00,8.6085,8.6105,8.606,8.6083,346
2016-07-01 11:55:00,8.6083,8.6175,8.6082,8.615,411
2016-07-01 12:00:00,8.6157,8.6167,8.612,8.6152,369
2016-07-01 12:05:00,8.6152,8.6195,8.613,8.6189,270
2016-07-01 12:10:00,8.6192,8.6195,8.615,8.6163,297
2016-07-01 12:15:00,8.6158,8.6191,8.614,8.6182,342
2016-07-01 12:20:00,8.6184,8.6184,8.614,8.6154,285
2016-07-01 12:25:00,8.6155,8.6155,8.61,8.6129,288
2016-07-01 12:30:00,8.6141,8.6159,8.61,8.6145,301
2016-07-01 12:35:00,8.6148,8.618,8.614,8.617,333
2016-07-01 12:40:00,8.6182,8.6204,8.616,8.618,316
2016-07-01 12:45:00,8.6181,8.6205,8.617,8.6191,333
2016-07-01 12:50:00,8.6194,8.6216,8.618,8.6209,375
2016-07-01 12:55:00,8.6209,8.6227,8.6158,8.616,337
2016-07-01 13:00:00,8.6162,8.6184,8.611,8.6131,366
2016-07-01 13:05:00,8.6126,8.6171,8.611,8.6156,313
2016-07-01 13:10:00,8.6163,8.62,8.6155,8.6171,388
2016-07-01 13:15:00,8.6171,8.6202,8.616,8.6172,338
2016-07-01 13:20:00,8.618,8.6181,8.6144,8.6145,295
2016-07-01 13:25:00,8.6146,8.617,8.613,8.6143,295
2016-07-01 13:30:00,8.6144,8.6185,8.614,8.6179,315
2016-07-01 13:35:00,8.6181,8.6196,8.617,8.6184,281
2016-07-01 13:40:00,8.6184,8.6201,8.616,8.6193,272
2016-07-01 13:45:00,8.6194,8.6216,8.618,8.6204,265
2016-07-01 13:50:00,8.6204,8.6296,8.62,8.6268,406
2016-07-01 13:55:00,8.6265,8.6302,8.626,8.6287,359
2016-07-01 14:00:00,8.6292,8.6327,8.6276,8.6317,364
2016-07-01 14:05:00,8.6314,8.6314,8.626,8.6283,351
