datetime,open,high,low,close,volume
2016-07-01 00:00:00,315.47,315.71,315.23,315.3,7
2016-07-01 00:05:00,315.39,315.7,315.24,315.42,10
2016-07-01 00:10:00,315.37,315.58,315.07,315.25,8
2016-07-01 00:15:00,315.24,315.71,315.13,315.43,10
2016-07-01 00:20:00,315.47,315.47,315.22,315.46,4
2016-07-01 00:25:00,315.42,315.47,315.21,315.47,4
2016-07-01 00:30:00,315.48,315.48,315.22,315.22,2
2016-07-01 00:35:00,315.46,315.46,315.24,315.43,3
2016-07-01 00:40:00,315.46,315.46,315.18,315.38,4
2016-07-01 00:45:00,315.37,315.37,315.13,315.13,2
2016-07-01 00:50:00,315.47,315.47,315.13,315.13,2
2016-07-01 00:55:00,315.47,315.58,315.07,315.58,11
2016-07-01 01:00:00,315.4,315.65,315.07,315.56,14
2016-07-01 01:05:00,315.3,315.63,315.02,315.56,10
2016-07-01 01:10:00,315.31,315.49,315.12,315.17,11
2016-07-01 01:15:00,315.33,315.4,315.1,315.4,8
2016-07-01 01:20:00,315.33,315.64,315.1,315.3,5
2016-07-01 01:25:00,315.29,315.64,315.15,315.21,13
2016-07-01 01:30:00,315.33,315.49,315.14,315.21,15
2016-07-01 01:35:00,315.33,315.36,315.12,315.21,17
2016-07-01 01:40:00,315.32,315.65,315.13,315.58,20
2016-07-01 01:45:00,315.31,315.64,315.15,315.64,7
2016-07-01 01:50:00,315.32,315.57,315.18,315.22,7
2016-07-01 01:55:00,315.4,315.46,315.14,315.22,16
2016-07-01 02:00:00,315.39,315.65,315.13,315.21,30
2016-07-01 02:05:00,315.33,315.44,315.14,315.32,11
2016-07-01 02:10:00,315.33,315.58,315.16,315.22,14
2016-07-01 02:15:00,315.39,315.58,315.17,315.33,12
2016-07-01 02:20:00,315.38,315.58,315.16,315.22,16
2016-07-01 02:25:00,315.39,315.5,315.16,315.5,18
2016-07-01 02:30:00,315.38,315.58,315.14,315.5,4
2016-07-01 02:35:00,315.42,315.67,315.17,315.6,11
2016-07-01 02:40:00,315.42,315.5,315.22,315.35,12
2016-07-01 02:45:00,315.4,315.5,315.14,315.37,4
2016-07-01 02:50:00,315.44,315.7,315.16,315.26,19
2016-07-01 02:55:00,315.43,315.72,315.18,315.69,35
2016-07-01 03:00:00,315.74,315.74,315.17,315.2,46
2016-07-01 03:05:00,315.37,315.66,315.15,315.66,247
2016-07-01 03:10:00,315.4,315.73,315.16,315.28,87
2016-07-01 03:15:00,315.44,315.72,315.21,315.31,60
2016-07-01 03:20:00,315.5,315.76,315.21,315.36,75
2016-07-01 03:25:00,315.53,315.76,315.26,315.48,60
2016-07-01 03:30:00,315.5,315.78,315.26,315.34,25
2016-07-01 03:35:00,315.55,315.77,315.28,315.55,51
2016-07-01 03:40:00,315.55,315.78,315.29,315.31,21
2016-07-01 03:45:00,315.48,315.76,315.24,315.72,44
2016-07-01 03:50:00,315.52,315.71,315.23,315.65,26
2016-07-01 03:55:00,315.44,315.65,315.18,315.18,36
2016-07-01 04:00:00,315.43,315.65,315.19,315.62,54
2016-07-01 04:05:00,315.43,315.67,315.18,315.62,102
2016-07-01 04:10:00,315.3,315.64,315.17,315.63,71
2016-07-01 04:15:00,315.46,315.63,315.17,315.63,30
2016-07-01 04:20:00,315.45,315.63,315.19,315.63,57
2016-07-01 04:25:00,315.44,315.63,315.19,315.55,60
2016-07-01 04:30:00,315.45,315.63,315.18,315.62,41
2016-07-01 04:35:00,315.45,315.62,315.18,315.43,40
2016-07-01 04:40:00,315.46,315.62,315.18,315.29,15
2016-07-01 04:45:00,315.44,315.62,315.17,315.26,40
2016-07-01 04:50:00,315.48,315.65,315.18,315.64,91
2016-07-01 04:55:00,315.42,315.67,315.19,315.63,137
2016-07-01 05:00:00,315.63,315.67,315.19,315.58,202
