datetime,open,high,low,close,volume
2016-07-01 00:00:00,376.48,376.48,376.48,376.48,1
2016-07-01 00:10:00,376.48,376.48,376.48,376.48,1
2016-07-01 00:15:00,376.36,376.36,376.36,376.36,1
2016-07-01 00:20:00,376.39,376.39,376.39,376.39,1
2016-07-01 00:25:00,376.42,376.42,376.42,376.42,1
2016-07-01 00:30:00,376.38,376.38,376.38,376.38,1
2016-07-01 00:35:00,376.3,376.3,376.3,376.3,1
2016-07-01 00:40:00,376.33,376.33,376.33,376.33,1
2016-07-01 00:45:00,376.18,376.18,376.18,376.18,1
2016-07-01 00:50:00,376.22,376.22,376.22,376.22,1
2016-07-01 03:00:00,376.35,376.35,376.35,376.35,1
2016-07-01 03:05:00,376.32,376.32,376.32,376.32,1
2016-07-01 03:10:00,376.46,376.46,376.46,376.46,1
2016-07-01 03:15:00,376.51,376.51,376.51,376.51,1
2016-07-01 03:20:00,376.74,376.74,376.74,376.74,1
2016-07-01 03:25:00,376.7,376.7,376.7,376.7,1
2016-07-01 03:30:00,376.72,376.72,376.72,376.72,1
2016-07-01 03:35:00,376.79,376.79,376.79,376.79,1
2016-07-01 03:40:00,376.73,376.73,376.73,376.73,1
2016-07-01 03:45:00,376.7,376.7,376.7,376.7,1
2016-07-01 03:50:00,376.72,376.72,376.72,376.72,1
2016-07-01 04:00:00,376.68,376.68,376.68,376.68,1
2016-07-01 04:05:00,376.76,376.76,376.76,376.76,1
2016-07-01 04:10:00,376.76,376.76,376.76,376.76,1
2016-07-01 04:15:00,376.69,376.69,376.69,376.69,1
2016-07-01 04:20:00,376.72,376.72,376.72,376.72,1
2016-07-01 06:55:00,375.92,375.92,375.92,375.92,1
2016-07-01 07:00:00,375.92,375.92,375.92,375.92,1
2016-07-01 07:05:00,375.89,375.89,375.89,375.89,1
2016-07-01 07:10:00,375.92,375.92,375.92,375.92,1
2016-07-01 07:15:00,375.91,375.91,375.91,375.91,1
2016-07-01 07:20:00,376.37,376.37,376.37,376.37,1
2016-07-01 07:25:00,376.0,376.0,376.0,376.0,1
2016-07-01 07:30:00,376.03,376.03,376.03,376.03,1
2016-07-01 07:35:00,376.08,376.08,376.08,376.08,1
2016-07-01 07:40:00,376.05,376.05,376.05,376.05,1
2016-07-01 07:45:00,376.06,376.06,376.06,376.06,1
2016-07-01 07:50:00,376.16,376.16,376.16,376.16,1
2016-07-01 07:55:00,376.19,376.19,376.19,376.19,1
2016-07-01 08:00:00,376.24,376.24,376.24,376.24,1
2016-07-01 08:05:00,376.13,376.13,376.13,376.13,1
2016-07-01 08:10:00,376.12,376.12,376.12,376.12,1
2016-07-01 08:15:00,376.13,376.13,376.13,376.13,1
2016-07-01 15:30:00,377.47,377.47,377.47,377.47,1
2016-07-01 15:35:00,377.61,377.61,377.61,377.61,1
2016-07-01 15:40:00,377.53,377.53,377.53,377.53,1
2016-07-01 15:45:00,377.58,377.58,377.58,377.58,1
2016-07-01 15:50:00,375.77,375.77,375.77,375.77,1
2016-07-01 15:55:00,375.71,375.71,375.71,375.71,1
2016-07-01 16:00:00,375.67,375.67,375.67,375.67,1
2016-07-01 16:05:00,375.87,375.87,375.87,375.87,1
2016-07-01 16:10:00,376.22,376.22,376.22,376.22,1
2016-07-01 16:15:00,376.17,376.17,376.17,376.17,1
2016-07-01 16:20:00,376.24,376.24,376.24,376.24,1
2016-07-01 16:25:00,376.72,376.72,376.72,376.72,1
2016-07-01 16:35:00,376.52,376.52,376.52,376.52,1
2016-07-01 16:40:00,376.51,376.51,376.51,376.51,1
2016-07-01 16:45:00,376.65,376.65,376.65,376.65,1
2016-07-01 16:50:00,376.33,376.33,376.33,376.33,1
2016-07-01 16:55:00,376.34,376.34,376.34,376.34,1
2016-07-01 17:25:00,375.7,375.7,375.7,375.7,1
2016-07-01 17:30:00,375.8,375.8,375.8,375.8,1
2016-07-01 17:35:00,375.38,375.38,375.38,375.38,1
2016-07-01 17:40:00,375.21,375.21,375.21,375.21,1
2016-07-01 17:45:00,375.44,375.44,375.44,375.44,1
2016-07-01 17:50:00,375.43,375.43,375.43,375.43,1
2016-07-01 17:55:00,375.23,375.23,375.23,375.23,1
2016-07-01 18:00:00,375.68,375.68,375.67,375.67,2
2016-07-01 18:05:00,375.85,375.85,375.85,375.85,1
2016-07-01 18:15:00,376.36,376.36,376.36,376.36,1
2016-07-01 18:20:00,376.21,376.21,376.21,376.21,1
2016-07-01 18:35:00,376.2,376.2,376.2,376.2,1
2016-07-01 18:40:00,376.08,376.08,376.08,376.08,1
2016-07-01 18:50:00,375.81,375.81,375.81,375.81,1
2016-07-01 18:55:00,376.0,376.0,376.0,376.0,1
2016-07-01 19:00:00,376.08,376.08,376.08,376.08,1
2016-07-01 19:05:00,376.35,376.35,376.35,376.35,1
2016-07-01 19:10:00,376.04,376.04,376.04,376.04,1
2016-07-01 19:15:00,375.99,375.99,375.99,375.99,1
2016-07-01 19:20:00,375.89,375.89,375.89,375.89,1
2016-07-01 19:25:00,375.79,375.79,375.79,375.79,1
2016-07-01 19:30:00,376.01,376.01,376.01,376.01,1
2016-07-01 19:35:00,375.95,375.95,375.95,375.95,1
2016-07-01 19:40:00,376.05,376.05,376.05,376.05,1
2016-07-01 19:45:00,376.39,376.39,376.39,376.39,1
2016-07-01 19:50:00,376.09,376.09,376.09,376.09,1
2016-07-01 20:10:00,376.13,376.13,376.13,376.13,1
2016-07-01 20:15:00,376.03,376.03,376.03,376.03,1
2016-07-01 20:20:00,375.92,375.92,375.92,375.92,1
2016-07-01 20:25:00,375.99,375.99,375.99,375.99,1
2016-07-01 20:30:00,375.91,375.91,375.91,375.91,1
2016-07-01 20:35:00,376.02,376.02,376.02,376.02,1
2016-07-01 20:40:00,375.89,375.89,375.89,375.89,1
2016-07-01 20:45:00,375.83,375.83,375.83,375.83,1
2016-07-01 20:50:00,375.68,375.68,375.68,375.68,1
2016-07-01 20:55:00,375.63,375.63,375.63,375.63,1
2016-07-01 21:00:00,375.49,375.49,375.49,375.49,1
2016-07-01 21:05:00,375.41,375.41,375.41,375.41,1
2016-07-01 21:10:00,375.48,375.48,375.48,375.48,1
2016-07-01 23:10:00,375.47,375.47,375.47,375.47,1
2016-07-01 23:15:00,375.56,375.56,375.56,375.56,1
2016-07-01 23:20:00,375.58,375.58,375.58,375.58,1
2016-07-01 23:25:00,375.72,375.72,375.72,375.72,1
2016-07-01 23:30:00,375.7,375.7,375.7,375.7,1
2016-07-01 23:35:00,375.82,375.82,375.82,375.82,1
2016-07-02 00:00:00,375.9,375.9,375.9,375.9,1
2016-07-02 00:05:00,375.81,375.81,375.81,375.81,1
2016-07-02 00:10:00,375.81,375.81,375.81,375.81,1
2016-07-02 00:15:00,375.81,375.81,375.81,375.81,1
2016-07-02 00:20:00,375.81,375.81,375.81,375.81,1
2016-07-02 00:25:00,375.81,375.81,375.81,375.81,1
2016-07-02 00:30:00,375.81,375.81,375.81,375.81,1
2016-07-04 01:50:00,375.57,375.57,375.57,375.57,1
2016-07-04 01:55:00,375.58,375.58,375.58,375.58,1
2016-07-04 02:00:00,375.6,375.6,375.6,375.6,1
2016-07-04 02:05:00,375.6,375.6,375.6,375.6,1
2016-07-04 02:10:00,375.68,375.68,375.68,375.68,1
2016-07-04 02:15:00,375.71,375.71,375.71,375.71,1
2016-07-04 02:20:00,375.72,375.72,375.72,375.72,1
2016-07-04 02:25:00,375.73,375.73,375.73,375.73,1
2016-07-04 02:30:00,375.8,375.8,375.8,375.8,1
2016-07-04 02:35:00,375.76,375.76,375.76,375.76,1
2016-07-04 02:40:00,375.77,375.77,375.77,375.77,1
2016-07-04 03:25:00,375.68,375.68,375.68,375.68,1
2016-07-04 03:30:00,375.61,375.61,375.61,375.61,1
2016-07-04 03:35:00,375.61,375.61,375.61,375.61,1
2016-07-04 03:40:00,375.53,375.53,375.53,375.53,1
2016-07-04 03:45:00,375.56,375.56,375.56,375.56,1
2016-07-04 03:50:00,375.53,375.53,375.53,375.53,1
2016-07-04 04:35:00,375.66,375.66,375.66,375.66,1
2016-07-04 04:40:00,375.68,375.68,375.68,375.68,1
2016-07-04 04:45:00,375.71,375.71,375.71,375.71,1
2016-07-04 04:50:00,375.75,375.75,375.75,375.75,1
2016-07-04 04:55:00,375.82,375.82,375.82,375.82,1
2016-07-04 05:00:00,375.78,375.78,375.78,375.78,1
2016-07-04 05:05:00,375.86,375.86,375.86,375.86,1
2016-07-04 05:10:00,375.9,375.9,375.9,375.9,1
2016-07-04 05:15:00,375.97,375.97,375.97,375.97,1
2016-07-04 05:20:00,375.99,375.99,375.99,375.99,1
2016-07-04 05:25:00,376.0,376.0,376.0,376.0,1
2016-07-04 05:30:00,375.98,375.98,375.98,375.98,1
2016-07-04 05:35:00,375.94,375.94,375.94,375.94,1
2016-07-04 05:40:00,375.99,375.99,375.99,375.99,1
2016-07-04 05:45:00,375.89,375.89,375.89,375.89,1
