datetime,open,high,low,close,volume
2016-07-01 00:00:00,9.28804,9.2951,9.27743,9.27792,116
2016-07-01 00:05:00,9.27786,9.2913,9.27414,9.2749,312
2016-07-01 00:10:00,9.29011,9.29011,9.27479,9.27673,177
2016-07-01 00:15:00,9.27679,9.28666,9.27673,9.27779,193
2016-07-01 00:20:00,9.27797,9.2898,9.27773,9.27829,141
2016-07-01 00:25:00,9.27833,9.28089,9.27813,9.27828,146
2016-07-01 00:30:00,9.28646,9.2873,9.27673,9.27684,147
2016-07-01 00:35:00,9.27678,9.28707,9.27678,9.27739,176
2016-07-01 00:40:00,9.28269,9.2832,9.27551,9.27714,305
2016-07-01 00:45:00,9.27714,9.28313,9.27668,9.27799,338
2016-07-01 00:50:00,9.27977,9.28292,9.27693,9.27819,179
2016-07-01 00:55:00,9.27809,9.28977,9.267,9.27809,334
2016-07-01 01:00:00,9.27783,9.28593,9.27138,9.2763,965
2016-07-01 01:05:00,9.2781,9.28433,9.2728,9.27734,1348
2016-07-01 01:10:00,9.27756,9.28616,9.2757,9.27892,820
2016-07-01 01:15:00,9.27892,9.28007,9.273,9.27774,736
2016-07-01 01:20:00,9.27659,9.28087,9.2728,9.27841,1251
2016-07-01 01:25:00,9.27796,9.28138,9.2728,9.27967,1642
2016-07-01 01:30:00,9.27967,9.27996,9.2657,9.27861,1306
2016-07-01 01:35:00,9.2767,9.28011,9.2705,9.27704,1025
2016-07-01 01:40:00,9.27787,9.2795,9.2708,9.27751,943
2016-07-01 01:45:00,9.27757,9.28198,9.2666,9.27876,1119
2016-07-01 01:50:00,9.27888,9.27888,9.27652,9.27774,975
2016-07-01 01:55:00,9.27852,9.27983,9.2661,9.27666,1033
2016-07-01 02:00:00,9.27859,9.28119,9.2652,9.2787,1615
2016-07-01 02:05:00,9.27872,9.28101,9.2718,9.27846,1166
2016-07-01 02:10:00,9.27822,9.28057,9.2715,9.27802,1278
2016-07-01 02:15:00,9.27796,9.28017,9.2715,9.28017,794
2016-07-01 02:20:00,9.27882,9.28047,9.2723,9.27838,816
2016-07-01 02:25:00,9.27886,9.28047,9.2713,9.27839,2008
2016-07-01 02:30:00,9.27823,9.28068,9.2723,9.28019,665
2016-07-01 02:35:00,9.27912,9.28064,9.2728,9.27871,638
2016-07-01 02:40:00,9.27988,9.28106,9.2733,9.28106,703
2016-07-01 02:45:00,9.28106,9.28113,9.2723,9.27843,893
2016-07-01 02:50:00,9.2789,9.28051,9.272,9.27891,1091
2016-07-01 02:55:00,9.27874,9.28058,9.2718,9.27824,1095
2016-07-01 03:00:00,9.2789,9.27956,9.2703,9.27785,914
2016-07-01 03:05:00,9.2777,9.27829,9.2756,9.27606,1235
