datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.5556,1.55656,1.551,1.55468,376
2016-07-01 00:05:00,1.55492,1.55735,1.5517,1.55674,1104
2016-07-01 00:10:00,1.55673,1.55801,1.5524,1.5556,795
2016-07-01 00:15:00,1.55734,1.55751,1.5527,1.55711,1350
2016-07-01 00:20:00,1.557,1.5576,1.5532,1.55651,788
2016-07-01 00:25:00,1.55707,1.55719,1.5527,1.55682,968
2016-07-01 00:30:00,1.55691,1.55721,1.5528,1.55708,1036
2016-07-01 00:35:00,1.55708,1.55721,1.5528,1.55696,939
2016-07-01 00:40:00,1.55688,1.55708,1.5524,1.5524,1264
2016-07-01 00:45:00,1.55636,1.55664,1.5519,1.55393,1029
2016-07-01 00:50:00,1.55623,1.55699,1.5523,1.55618,1258
2016-07-01 00:55:00,1.55632,1.55738,1.5524,1.55721,1265
2016-07-01 01:00:00,1.55684,1.55717,1.5517,1.55591,2773
2016-07-01 01:05:00,1.55592,1.55647,1.5515,1.55577,3315
2016-07-01 01:10:00,1.5555,1.5563,1.5516,1.55622,2588
2016-07-01 01:15:00,1.55594,1.55689,1.5526,1.55687,1508
2016-07-01 01:20:00,1.55624,1.55725,1.5528,1.55721,2007
2016-07-01 01:25:00,1.5572,1.55734,1.5523,1.55588,2632
2016-07-01 01:30:00,1.55591,1.55707,1.5513,1.55673,2437
2016-07-01 01:35:00,1.55542,1.5571,1.5508,1.5549,2036
2016-07-01 01:40:00,1.55454,1.55609,1.5508,1.55571,1658
2016-07-01 01:45:00,1.55571,1.55596,1.551,1.55522,1943
2016-07-01 01:50:00,1.55522,1.55536,1.5508,1.55508,1506
2016-07-01 01:55:00,1.55508,1.55578,1.551,1.55549,1758
2016-07-01 02:00:00,1.55541,1.55632,1.5511,1.55615,2524
2016-07-01 02:05:00,1.55605,1.5562,1.5518,1.55605,1279
2016-07-01 02:10:00,1.55563,1.55686,1.552,1.55683,1702
2016-07-01 02:15:00,1.55683,1.557,1.5519,1.55598,1773
2016-07-01 02:20:00,1.55562,1.55622,1.5517,1.5561,1590
2016-07-01 02:25:00,1.55602,1.5562,1.5517,1.55615,1540
2016-07-01 02:30:00,1.55615,1.55626,1.5517,1.55525,1666
2016-07-01 02:35:00,1.55513,1.55635,1.5518,1.55591,1601
2016-07-01 02:40:00,1.55598,1.55618,1.5516,1.55603,1507
2016-07-01 02:45:00,1.55599,1.55666,1.5519,1.55609,2249
2016-07-01 02:50:00,1.55589,1.55661,1.5522,1.55655,1727
2016-07-01 02:55:00,1.55643,1.55713,1.5525,1.55683,2254
2016-07-01 03:00:00,1.55666,1.55942,1.5522,1.55653,3835
2016-07-01 03:05:00,1.55668,1.55743,1.5519,1.556,2830
