datetime,open,high,low,close,volume
2016-07-01 00:00:00,9.38266,9.4047,9.38266,9.4047,21
2016-07-01 00:05:00,9.3981,9.3981,9.38207,9.38298,63
2016-07-01 00:10:00,9.3934,9.3935,9.3821,9.38319,81
2016-07-01 00:15:00,9.3935,9.3935,9.38267,9.3832,41
2016-07-01 00:20:00,9.38273,9.3913,9.3826,9.38267,42
2016-07-01 00:25:00,9.38263,9.38413,9.38244,9.3829,20
2016-07-01 00:30:00,9.38267,9.38587,9.38202,9.38587,135
2016-07-01 00:35:00,9.38587,9.388,9.3792,9.38659,272
2016-07-01 00:40:00,9.38653,9.38809,9.3816,9.38308,433
2016-07-01 00:45:00,9.38743,9.38859,9.38107,9.38477,531
2016-07-01 00:50:00,9.38477,9.38488,9.38209,9.38488,154
2016-07-01 00:55:00,9.3827,9.38516,9.3748,9.3748,275
2016-07-01 01:00:00,9.3831,9.38443,9.3768,9.38265,2489
2016-07-01 01:05:00,9.3826,9.38453,9.3763,9.38255,3015
2016-07-01 01:10:00,9.38253,9.38376,9.376,9.38366,641
2016-07-01 01:15:00,9.38264,9.38386,9.376,9.38263,340
2016-07-01 01:20:00,9.38263,9.38396,9.3758,9.38396,473
2016-07-01 01:25:00,9.38194,9.38396,9.3755,9.38255,538
2016-07-01 01:30:00,9.38255,9.38376,9.375,9.38255,413
2016-07-01 01:35:00,9.38255,9.38346,9.3753,9.38266,496
2016-07-01 01:40:00,9.38282,9.38346,9.3755,9.38275,406
2016-07-01 01:45:00,9.3822,9.38485,9.3813,9.38284,351
2016-07-01 01:50:00,9.38284,9.38393,9.38158,9.38271,582
2016-07-01 01:55:00,9.38255,9.38405,9.38051,9.38165,940
2016-07-01 02:00:00,9.38225,9.38575,9.3753,9.38215,820
2016-07-01 02:05:00,9.38555,9.38673,9.3783,9.38637,489
2016-07-01 02:10:00,9.38637,9.38738,9.3778,9.38526,608
2016-07-01 02:15:00,9.38498,9.38649,9.378,9.38624,304
2016-07-01 02:20:00,9.38502,9.38765,9.3788,9.38765,1568
2016-07-01 02:25:00,9.3864,9.38765,9.3783,9.38726,764
2016-07-01 02:30:00,9.38573,9.38803,9.3785,9.38803,813
2016-07-01 02:35:00,9.38803,9.38843,9.3798,9.38226,537
2016-07-01 02:40:00,9.38843,9.38843,9.3785,9.38329,683
