datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.4958,1.4959,1.4924,1.4936,250
2016-07-01 00:05:00,1.4949,1.4962,1.4936,1.4947,230
2016-07-01 00:10:00,1.496,1.4962,1.4947,1.4961,301
2016-07-01 00:15:00,1.4961,1.4961,1.4951,1.4957,437
2016-07-01 00:20:00,1.4956,1.4959,1.4951,1.4957,219
2016-07-01 00:25:00,1.4957,1.4959,1.4951,1.4954,396
2016-07-01 00:30:00,1.4955,1.4959,1.4948,1.4952,333
2016-07-01 00:35:00,1.4954,1.4956,1.4948,1.4954,232
2016-07-01 00:40:00,1.4952,1.4954,1.4943,1.4947,479
2016-07-01 00:45:00,1.4947,1.4951,1.4941,1.495,295
2016-07-01 00:50:00,1.4946,1.4953,1.4944,1.4948,274
2016-07-01 00:55:00,1.495,1.4958,1.4945,1.4954,441
2016-07-01 01:00:00,1.4956,1.4957,1.4935,1.4952,809
2016-07-01 01:05:00,1.4952,1.4956,1.495,1.4953,601
2016-07-01 01:10:00,1.4952,1.496,1.4949,1.4957,565
2016-07-01 01:15:00,1.4957,1.4962,1.4956,1.4958,419
2016-07-01 01:20:00,1.4956,1.4964,1.4956,1.4961,550
2016-07-01 01:25:00,1.4964,1.4966,1.4955,1.4958,794
2016-07-01 01:30:00,1.4956,1.4959,1.4948,1.495,894
2016-07-01 01:35:00,1.4953,1.4954,1.4944,1.4946,723
2016-07-01 01:40:00,1.4944,1.4963,1.4944,1.4957,641
2016-07-01 01:45:00,1.4958,1.4966,1.4955,1.4959,754
2016-07-01 01:50:00,1.4957,1.4961,1.4956,1.4959,503
2016-07-01 01:55:00,1.496,1.4964,1.4951,1.4959,492
2016-07-01 02:00:00,1.4961,1.4966,1.4957,1.4962,805
2016-07-01 02:05:00,1.4964,1.4965,1.4953,1.4959,395
2016-07-01 02:10:00,1.4957,1.4963,1.4955,1.4958,490
2016-07-01 02:15:00,1.4958,1.4962,1.4956,1.4957,438
2016-07-01 02:20:00,1.4956,1.496,1.4954,1.4956,509
2016-07-01 02:25:00,1.4957,1.4959,1.4952,1.4955,569
2016-07-01 02:30:00,1.4954,1.4959,1.4954,1.4956,472
2016-07-01 02:35:00,1.4956,1.4966,1.4946,1.496,369
2016-07-01 02:40:00,1.4958,1.4963,1.4956,1.496,537
2016-07-01 02:45:00,1.4963,1.4963,1.4957,1.4959,590
2016-07-01 02:50:00,1.4958,1.4962,1.4956,1.4958,525
2016-07-01 02:55:00,1.4958,1.4962,1.4956,1.4958,586
2016-07-01 03:00:00,1.4956,1.4962,1.4952,1.4957,1068
2016-07-01 03:05:00,1.4954,1.496,1.4951,1.4957,954
2016-07-01 03:10:00,1.4955,1.4961,1.4952,1.4956,1078
2016-07-01 03:15:00,1.4956,1.4966,1.4953,1.4965,1026
2016-07-01 03:20:00,1.4965,1.497,1.4962,1.4965,805
2016-07-01 03:25:00,1.4965,1.4965,1.4955,1.4955,727
2016-07-01 03:30:00,1.4953,1.4957,1.4944,1.4953,720
2016-07-01 03:35:00,1.4951,1.4954,1.4944,1.4946,657
2016-07-01 03:40:00,1.4944,1.4953,1.4944,1.4953,652
2016-07-01 03:45:00,1.4951,1.4954,1.4947,1.4952,662
2016-07-01 03:50:00,1.4951,1.4959,1.4946,1.4954,880
2016-07-01 03:55:00,1.4953,1.4955,1.4947,1.4951,986
2016-07-01 04:00:00,1.495,1.497,1.495,1.4959,815
2016-07-01 04:05:00,1.4956,1.4965,1.4955,1.4961,890
2016-07-01 04:10:00,1.4959,1.4961,1.4954,1.4954,606
2016-07-01 04:15:00,1.4957,1.4962,1.4954,1.4959,546
2016-07-01 04:20:00,1.4958,1.4962,1.4956,1.4958,506
2016-07-01 04:25:00,1.4958,1.4961,1.495,1.4953,518
2016-07-01 04:30:00,1.4953,1.4958,1.4949,1.4954,653
2016-07-01 04:35:00,1.4952,1.4961,1.4947,1.495,715
2016-07-01 04:40:00,1.4961,1.4961,1.4949,1.4949,420
2016-07-01 04:45:00,1.4951,1.4961,1.4949,1.4952,961
2016-07-01 04:50:00,1.4954,1.4954,1.4943,1.4947,929
2016-07-01 04:55:00,1.4946,1.4949,1.4942,1.4942,643
2016-07-01 05:00:00,1.4944,1.4951,1.494,1.4948,688
2016-07-01 05:05:00,1.495,1.4952,1.4946,1.4948,541
2016-07-01 05:10:00,1.4943,1.4952,1.4943,1.4946,636
2016-07-01 05:15:00,1.4948,1.4951,1.4945,1.4945,715
2016-07-01 05:20:00,1.4944,1.4949,1.4944,1.4948,487
2016-07-01 05:25:00,1.4946,1.495,1.4945,1.4946,487
2016-07-01 05:30:00,1.4944,1.4954,1.4944,1.495,523
2016-07-01 05:35:00,1.4953,1.4953,1.4946,1.495,576
2016-07-01 05:40:00,1.4947,1.4957,1.4947,1.4951,614
2016-07-01 05:45:00,1.4949,1.4952,1.4943,1.4943,721
2016-07-01 05:50:00,1.4941,1.4946,1.494,1.4942,589
2016-07-01 05:55:00,1.4942,1.4945,1.494,1.4943,553
2016-07-01 06:00:00,1.4944,1.4945,1.4937,1.4942,634
2016-07-01 06:05:00,1.4942,1.4945,1.4935,1.4938,563
2016-07-01 06:10:00,1.4937,1.4941,1.4934,1.4939,444
2016-07-01 06:15:00,1.4939,1.4943,1.4936,1.4936,560
2016-07-01 06:20:00,1.4936,1.4938,1.4931,1.4933,535
2016-07-01 06:25:00,1.4935,1.4938,1.4925,1.4929,646
2016-07-01 06:30:00,1.4929,1.4933,1.4924,1.4929,683
2016-07-01 06:35:00,1.4926,1.493,1.4924,1.4925,706
2016-07-01 06:40:00,1.4923,1.4928,1.4915,1.4921,874
2016-07-01 06:45:00,1.4921,1.4922,1.4916,1.4922,627
2016-07-01 06:50:00,1.4922,1.4922,1.4913,1.4918,632
2016-07-01 06:55:00,1.4918,1.492,1.4913,1.4917,588
2016-07-01 07:00:00,1.4917,1.4923,1.4915,1.4921,700
2016-07-01 07:05:00,1.4923,1.4924,1.4915,1.4919,625
2016-07-01 07:10:00,1.4917,1.4923,1.4917,1.4919,444
2016-07-01 07:15:00,1.4919,1.4921,1.4916,1.4916,537
2016-07-01 07:20:00,1.4933,1.4933,1.4916,1.4922,631
2016-07-01 07:25:00,1.4922,1.4927,1.4921,1.4924,558
2016-07-01 07:30:00,1.4922,1.4927,1.4921,1.4924,588
2016-07-01 07:35:00,1.4927,1.4928,1.492,1.4924,726
2016-07-01 07:40:00,1.4924,1.4926,1.4916,1.4917,603
2016-07-01 07:45:00,1.4919,1.4925,1.4917,1.4923,471
2016-07-01 07:50:00,1.4919,1.4924,1.4915,1.4919,696
2016-07-01 07:55:00,1.4919,1.4926,1.4917,1.4923,689
2016-07-01 08:00:00,1.4932,1.4932,1.4918,1.4926,645
2016-07-01 08:05:00,1.4927,1.4927,1.492,1.4924,676
2016-07-01 08:10:00,1.4922,1.4931,1.4922,1.4925,471
2016-07-01 08:15:00,1.4925,1.4928,1.492,1.492,645
2016-07-01 08:20:00,1.4918,1.4923,1.4916,1.492,611
2016-07-01 08:25:00,1.4922,1.4922,1.4916,1.4921,532
2016-07-01 08:30:00,1.4917,1.4924,1.4917,1.4918,633
2016-07-01 08:35:00,1.4918,1.492,1.4915,1.4918,657
2016-07-01 08:40:00,1.4918,1.4918,1.4904,1.4907,833
2016-07-01 08:45:00,1.4905,1.4908,1.4896,1.4898,1081
2016-07-01 08:50:00,1.4896,1.4904,1.4896,1.4901,928
2016-07-01 08:55:00,1.4903,1.4906,1.4895,1.4898,1596
2016-07-01 09:00:00,1.4898,1.4898,1.488,1.4893,1318
2016-07-01 09:05:00,1.4895,1.4901,1.488,1.4901,1301
2016-07-01 09:10:00,1.4896,1.4913,1.489,1.4912,1304
2016-07-01 09:15:00,1.4912,1.4913,1.489,1.4905,1573
2016-07-01 09:20:00,1.4903,1.492,1.49,1.4919,1462
2016-07-01 09:25:00,1.4919,1.492,1.491,1.4915,1451
2016-07-01 09:30:00,1.4916,1.4925,1.4913,1.4924,1380
2016-07-01 09:35:00,1.4924,1.4926,1.4916,1.4923,1101
2016-07-01 09:40:00,1.4921,1.4931,1.491,1.4926,1444
2016-07-01 09:45:00,1.4928,1.4931,1.491,1.493,1154
2016-07-01 09:50:00,1.493,1.4931,1.4921,1.4923,1326
2016-07-01 09:55:00,1.4925,1.4929,1.4922,1.4929,1285
2016-07-01 10:00:00,1.4929,1.4929,1.4919,1.4926,1678
2016-07-01 10:05:00,1.4926,1.4933,1.492,1.4929,1748
2016-07-01 10:10:00,1.4927,1.4934,1.491,1.4925,1628
2016-07-01 10:15:00,1.4924,1.4927,1.4919,1.4923,1434
2016-07-01 10:20:00,1.4923,1.4931,1.491,1.4927,1665
2016-07-01 10:25:00,1.4927,1.4929,1.492,1.4923,1520
2016-07-01 10:30:00,1.4923,1.4929,1.4921,1.4928,1419
2016-07-01 10:35:00,1.4929,1.4944,1.491,1.4942,2208
2016-07-01 10:40:00,1.4942,1.4955,1.493,1.4948,2478
2016-07-01 10:45:00,1.4948,1.4952,1.493,1.4945,1913
2016-07-01 10:50:00,1.4946,1.495,1.494,1.4943,1798
2016-07-01 10:55:00,1.4944,1.4947,1.4936,1.4939,1510
2016-07-01 11:00:00,1.4939,1.4947,1.4938,1.4939,1666
2016-07-01 11:05:00,1.4941,1.4949,1.492,1.4938,1760
2016-07-01 11:10:00,1.4938,1.4941,1.492,1.4937,1663
2016-07-01 11:15:00,1.4939,1.4944,1.493,1.4935,1611
2016-07-01 11:20:00,1.4933,1.4949,1.4933,1.4944,1749
2016-07-01 11:25:00,1.4946,1.4951,1.493,1.4937,1543
2016-07-01 11:30:00,1.4939,1.4943,1.492,1.493,1762
2016-07-01 11:35:00,1.4933,1.4937,1.4925,1.4926,1813
2016-07-01 11:40:00,1.4924,1.4929,1.491,1.4926,1591
2016-07-01 11:45:00,1.4926,1.493,1.491,1.4919,1729
2016-07-01 11:50:00,1.4917,1.4924,1.49,1.492,1554
2016-07-01 11:55:00,1.4921,1.4933,1.4919,1.4927,1562
2016-07-01 12:00:00,1.4928,1.494,1.4926,1.4939,1683
2016-07-01 12:05:00,1.494,1.4945,1.493,1.4939,1314
2016-07-01 12:10:00,1.4939,1.4943,1.492,1.4935,1589
2016-07-01 12:15:00,1.4938,1.4941,1.492,1.4937,1626
2016-07-01 12:20:00,1.4935,1.4939,1.492,1.4934,1277
2016-07-01 12:25:00,1.4932,1.4935,1.4928,1.4933,1313
2016-07-01 12:30:00,1.4931,1.4941,1.493,1.4941,1242
2016-07-01 12:35:00,1.4941,1.4946,1.4937,1.4942,1493
2016-07-01 12:40:00,1.4944,1.4947,1.4938,1.4944,1345
2016-07-01 12:45:00,1.4944,1.4947,1.494,1.4942,1339
2016-07-01 12:50:00,1.4939,1.4944,1.492,1.4937,1560
2016-07-01 12:55:00,1.4937,1.4939,1.4928,1.4929,1572
2016-07-01 13:00:00,1.4929,1.4935,1.4926,1.4929,1679
2016-07-01 13:05:00,1.4931,1.494,1.492,1.4939,1424
2016-07-01 13:10:00,1.4939,1.4943,1.493,1.4933,1508
2016-07-01 13:15:00,1.4935,1.4946,1.492,1.4945,1604
2016-07-01 13:20:00,1.494,1.4945,1.4937,1.4937,1385
2016-07-01 13:25:00,1.4939,1.4941,1.492,1.4933,1341
2016-07-01 13:30:00,1.4933,1.4942,1.492,1.4942,1384
2016-07-01 13:35:00,1.4942,1.4946,1.493,1.4944,1362
2016-07-01 13:40:00,1.4943,1.4951,1.494,1.4948,1158
2016-07-01 13:45:00,1.4949,1.4953,1.4947,1.4948,1128
2016-07-01 13:50:00,1.4946,1.4958,1.4946,1.4953,1564
2016-07-01 13:55:00,1.4953,1.4957,1.494,1.4956,1509
2016-07-01 14:00:00,1.4954,1.4961,1.494,1.4956,1695
2016-07-01 14:05:00,1.4954,1.4958,1.4952,1.4953,1512
2016-07-01 14:10:00,1.4951,1.4955,1.493,1.495,1088
2016-07-01 14:15:00,1.495,1.4951,1.493,1.4946,984
2016-07-01 14:20:00,1.4947,1.495,1.494,1.4949,1355
2016-07-01 14:25:00,1.4948,1.4959,1.4947,1.4956,1117
2016-07-01 14:30:00,1.4956,1.4959,1.494,1.4952,1002
2016-07-01 14:35:00,1.4954,1.4955,1.4948,1.4948,989
2016-07-01 14:40:00,1.4946,1.4954,1.4944,1.495,655
2016-07-01 14:45:00,1.4953,1.4959,1.4951,1.4952,403
2016-07-01 14:50:00,1.495,1.4957,1.493,1.495,1066
2016-07-01 14:55:00,1.4948,1.4951,1.493,1.494,1533
2016-07-01 15:00:00,1.494,1.4946,1.4935,1.4945,1553
2016-07-01 15:05:00,1.4945,1.495,1.493,1.4946,1465
2016-07-01 15:10:00,1.4944,1.496,1.494,1.4958,1819
2016-07-01 15:15:00,1.4956,1.4961,1.494,1.4957,1577
2016-07-01 15:20:00,1.4956,1.4962,1.495,1.4961,1582
2016-07-01 15:25:00,1.4959,1.4963,1.4955,1.4957,1422
2016-07-01 15:30:00,1.4959,1.4967,1.494,1.496,1813
2016-07-01 15:35:00,1.496,1.4969,1.494,1.4955,1775
2016-07-01 15:40:00,1.4955,1.4964,1.494,1.496,1681
2016-07-01 15:45:00,1.496,1.4962,1.495,1.4958,1468
2016-07-01 15:50:00,1.4954,1.4958,1.494,1.4949,1172
2016-07-01 15:55:00,1.4949,1.4951,1.493,1.4949,1189
2016-07-01 16:00:00,1.4949,1.4957,1.494,1.4953,1362
2016-07-01 16:05:00,1.4952,1.4963,1.495,1.4961,1440
2016-07-01 16:10:00,1.4959,1.4964,1.4958,1.496,1285
2016-07-01 16:15:00,1.496,1.4968,1.496,1.4965,1266
2016-07-01 16:20:00,1.4965,1.4985,1.495,1.4984,1968
2016-07-01 16:25:00,1.4984,1.4988,1.496,1.4978,2299
2016-07-01 16:30:00,1.4977,1.498,1.496,1.4974,2191
2016-07-01 16:35:00,1.4973,1.4974,1.4968,1.4973,1704
2016-07-01 16:40:00,1.4971,1.4974,1.495,1.4964,1506
2016-07-01 16:45:00,1.4966,1.4973,1.495,1.4964,1854
2016-07-01 16:50:00,1.4961,1.497,1.4959,1.4968,1481
2016-07-01 16:55:00,1.4969,1.4972,1.495,1.4958,1885
2016-07-01 17:00:00,1.4949,1.4979,1.4943,1.4974,2697
2016-07-01 17:05:00,1.4975,1.4982,1.4969,1.4973,2306
2016-07-01 17:10:00,1.4976,1.4976,1.495,1.496,2139
2016-07-01 17:15:00,1.496,1.4964,1.4954,1.4963,1742
2016-07-01 17:20:00,1.4963,1.4964,1.494,1.4955,2106
2016-07-01 17:25:00,1.4953,1.4962,1.494,1.4957,1795
2016-07-01 17:30:00,1.4954,1.4959,1.493,1.4946,2025
2016-07-01 17:35:00,1.4946,1.4951,1.493,1.494,1918
2016-07-01 17:40:00,1.4938,1.4951,1.492,1.495,1563
2016-07-01 17:45:00,1.495,1.4958,1.494,1.4951,1836
2016-07-01 17:50:00,1.4953,1.4958,1.4947,1.495,1731
2016-07-01 17:55:00,1.495,1.4965,1.493,1.4962,2197
2016-07-01 18:00:00,1.4963,1.4976,1.495,1.4973,2212
2016-07-01 18:05:00,1.4975,1.4994,1.496,1.499,2098
2016-07-01 18:10:00,1.4987,1.4998,1.4985,1.4997,1819
2016-07-01 18:15:00,1.4995,1.4997,1.4986,1.4994,1814
2016-07-01 18:20:00,1.4996,1.5001,1.498,1.4995,1583
2016-07-01 18:25:00,1.4995,1.4997,1.4985,1.4986,1375
2016-07-01 18:30:00,1.4988,1.5,1.4984,1.4995,1617
2016-07-01 18:35:00,1.4993,1.4995,1.497,1.4987,1447
2016-07-01 18:40:00,1.4989,1.4993,1.497,1.4992,1279
2016-07-01 18:45:00,1.4992,1.4992,1.497,1.498,1232
2016-07-01 18:50:00,1.4978,1.4992,1.4978,1.4986,1286
2016-07-01 18:55:00,1.4986,1.4991,1.497,1.4989,1101
2016-07-01 19:00:00,1.4991,1.5003,1.4986,1.4999,1518
2016-07-01 19:05:00,1.4997,1.5002,1.4983,1.4989,1340
2016-07-01 19:10:00,1.4985,1.4993,1.4985,1.4987,899
2016-07-01 19:15:00,1.4987,1.499,1.4982,1.4983,1072
2016-07-01 19:20:00,1.4985,1.4989,1.4979,1.4982,1106
2016-07-01 19:25:00,1.4983,1.4993,1.4981,1.4993,1043
2016-07-01 19:30:00,1.499,1.4995,1.4987,1.4989,762
2016-07-01 19:35:00,1.4992,1.4995,1.4988,1.4992,789
2016-07-01 19:40:00,1.4994,1.501,1.4992,1.5009,1361
2016-07-01 19:45:00,1.5007,1.501,1.4998,1.5002,1523
2016-07-01 19:50:00,1.4999,1.5002,1.4989,1.4992,1211
2016-07-01 19:55:00,1.499,1.4995,1.4984,1.4988,1637
2016-07-01 20:00:00,1.499,1.5003,1.4985,1.5001,1304
2016-07-01 20:05:00,1.5001,1.5007,1.4999,1.5004,1202
2016-07-01 20:10:00,1.5,1.5008,1.5,1.5,1113
