datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.7917,1.7928,1.7881,1.7886,162
2016-07-01 00:05:00,1.7924,1.7932,1.7886,1.7927,212
2016-07-01 00:10:00,1.7926,1.793,1.7901,1.7921,229
2016-07-01 00:15:00,1.7917,1.7926,1.7915,1.7922,218
2016-07-01 00:20:00,1.7922,1.7928,1.7911,1.7925,210
2016-07-01 00:25:00,1.792,1.7925,1.7894,1.7899,378
2016-07-01 00:30:00,1.7888,1.7909,1.7888,1.7904,349
2016-07-01 00:35:00,1.7906,1.7907,1.7883,1.7894,220
2016-07-01 00:40:00,1.7894,1.7896,1.7875,1.7883,395
2016-07-01 00:45:00,1.7875,1.7901,1.7871,1.789,369
2016-07-01 00:50:00,1.789,1.7897,1.7879,1.7891,259
2016-07-01 00:55:00,1.7891,1.79,1.7878,1.7897,237
2016-07-01 01:00:00,1.7898,1.7923,1.7886,1.7909,826
2016-07-01 01:05:00,1.7905,1.7914,1.7895,1.791,516
2016-07-01 01:10:00,1.7905,1.7917,1.7896,1.7907,628
2016-07-01 01:15:00,1.7898,1.7914,1.7898,1.7903,368
2016-07-01 01:20:00,1.7903,1.7913,1.7893,1.7899,496
2016-07-01 01:25:00,1.7901,1.7911,1.789,1.7903,404
2016-07-01 01:30:00,1.7909,1.792,1.7894,1.7913,593
2016-07-01 01:35:00,1.7913,1.7919,1.7895,1.7905,613
2016-07-01 01:40:00,1.7905,1.7924,1.7901,1.792,477
2016-07-01 01:45:00,1.791,1.7959,1.791,1.7944,907
2016-07-01 01:50:00,1.7944,1.7951,1.7925,1.7934,453
2016-07-01 01:55:00,1.7934,1.7955,1.7927,1.794,545
2016-07-01 02:00:00,1.794,1.7967,1.793,1.7952,773
2016-07-01 02:05:00,1.7952,1.7969,1.7947,1.7965,453
2016-07-01 02:10:00,1.7968,1.7968,1.7952,1.7961,446
2016-07-01 02:15:00,1.7951,1.7973,1.7951,1.7968,417
2016-07-01 02:20:00,1.7968,1.7976,1.7955,1.797,471
2016-07-01 02:25:00,1.7965,1.797,1.7951,1.7965,480
2016-07-01 02:30:00,1.7968,1.7974,1.7954,1.7966,511
2016-07-01 02:35:00,1.7966,1.7977,1.7964,1.7972,386
2016-07-01 02:40:00,1.7972,1.7977,1.7954,1.7972,464
2016-07-01 02:45:00,1.7962,1.7978,1.7962,1.7972,404
2016-07-01 02:50:00,1.7972,1.7979,1.7942,1.7951,590
2016-07-01 02:55:00,1.7951,1.796,1.794,1.7956,562
