datetime,open,high,low,close,volume
2016-07-01 00:00:00,1.3308,1.3324,1.3304,1.3317,228
2016-07-01 00:05:00,1.3307,1.3316,1.3305,1.331,1147
2016-07-01 00:10:00,1.3309,1.332,1.3302,1.3306,1142
2016-07-01 00:15:00,1.3307,1.3319,1.3304,1.3307,944
2016-07-01 00:20:00,1.3314,1.3319,1.3302,1.3304,798
2016-07-01 00:25:00,1.3304,1.3308,1.3286,1.3288,1656
2016-07-01 00:30:00,1.3289,1.3296,1.3286,1.3293,1323
2016-07-01 00:35:00,1.3292,1.3294,1.3285,1.3288,849
2016-07-01 00:40:00,1.3288,1.3288,1.3275,1.3277,1918
2016-07-01 00:45:00,1.3277,1.3289,1.3274,1.328,1663
2016-07-01 00:50:00,1.3282,1.3288,1.3279,1.3281,983
2016-07-01 00:55:00,1.3282,1.3288,1.328,1.3286,706
2016-07-01 01:00:00,1.3287,1.3304,1.3284,1.329,4742
2016-07-01 01:05:00,1.3291,1.3301,1.3287,1.3292,2323
2016-07-01 01:10:00,1.3292,1.33,1.3288,1.3292,3782
2016-07-01 01:15:00,1.3291,1.3295,1.3288,1.3292,1780
2016-07-01 01:20:00,1.3292,1.3295,1.3286,1.3288,2707
2016-07-01 01:25:00,1.3288,1.3295,1.3284,1.3292,2362
2016-07-01 01:30:00,1.3292,1.3302,1.3288,1.33,2869
2016-07-01 01:35:00,1.3299,1.3301,1.3289,1.3292,3039
2016-07-01 01:40:00,1.3292,1.3301,1.329,1.3299,2519
2016-07-01 01:45:00,1.33,1.3323,1.3291,1.3316,4963
2016-07-01 01:50:00,1.3314,1.3317,1.3303,1.3306,2345
2016-07-01 01:55:00,1.3306,1.332,1.3304,1.3312,2670
2016-07-01 02:00:00,1.3311,1.3334,1.3309,1.3326,4517
2016-07-01 02:05:00,1.3328,1.3338,1.3325,1.3336,2763
2016-07-01 02:10:00,1.3337,1.3339,1.3329,1.3334,2836
2016-07-01 02:15:00,1.3335,1.3343,1.3331,1.3341,2530
2016-07-01 02:20:00,1.3341,1.3344,1.3335,1.3341,3196
2016-07-01 02:25:00,1.334,1.3341,1.3332,1.334,2846
2016-07-01 02:30:00,1.334,1.3346,1.3337,1.3338,3060
2016-07-01 02:35:00,1.334,1.3344,1.3338,1.3341,2339
2016-07-01 02:40:00,1.3343,1.3343,1.3326,1.3342,2674
2016-07-01 02:45:00,1.3343,1.3346,1.3329,1.3343,1938
2016-07-01 02:50:00,1.3343,1.3346,1.3323,1.3327,3478
2016-07-01 02:55:00,1.3325,1.3337,1.3322,1.333,3166
2016-07-01 03:00:00,1.333,1.3336,1.3325,1.3331,3315
2016-07-01 03:05:00,1.3329,1.3342,1.3328,1.3339,3388
2016-07-01 03:10:00,1.3339,1.3344,1.3336,1.3339,3276
2016-07-01 03:15:00,1.334,1.3344,1.3332,1.3339,3331
2016-07-01 03:20:00,1.3339,1.3346,1.3335,1.3345,3495
2016-07-01 03:25:00,1.3345,1.3346,1.3334,1.3345,1923
2016-07-01 03:30:00,1.3343,1.3348,1.3339,1.3346,2346
2016-07-01 03:35:00,1.3347,1.3347,1.3338,1.3344,2705
2016-07-01 03:40:00,1.3345,1.3348,1.334,1.3348,3022
2016-07-01 03:45:00,1.3348,1.3349,1.3338,1.3347,2436
2016-07-01 03:50:00,1.3347,1.3349,1.3339,1.3347,3646
2016-07-01 03:55:00,1.3347,1.3347,1.3333,1.3339,4033
2016-07-01 04:00:00,1.3339,1.3345,1.3332,1.3341,3739
2016-07-01 04:05:00,1.3341,1.3345,1.3335,1.3342,3368
2016-07-01 04:10:00,1.334,1.3347,1.3332,1.3342,2558
2016-07-01 04:15:00,1.3343,1.3348,1.3341,1.3348,2326
2016-07-01 04:20:00,1.3347,1.3348,1.3344,1.3347,2451
2016-07-01 04:25:00,1.3348,1.3349,1.3334,1.3348,1850
2016-07-01 04:30:00,1.3348,1.3348,1.3336,1.3338,2557
2016-07-01 04:35:00,1.3338,1.3342,1.3328,1.3338,2719
2016-07-01 04:40:00,1.3338,1.3339,1.3327,1.3338,1664
2016-07-01 04:45:00,1.3338,1.3343,1.3335,1.3338,3274
2016-07-01 04:50:00,1.3338,1.3342,1.3331,1.3337,2965
2016-07-01 04:55:00,1.3336,1.334,1.3331,1.3337,2553
2016-07-01 05:00:00,1.3337,1.3341,1.3333,1.3334,2376
2016-07-01 05:05:00,1.334,1.3341,1.3333,1.3337,1963
2016-07-01 05:10:00,1.3337,1.3338,1.3334,1.3337,1983
2016-07-01 05:15:00,1.3336,1.334,1.3333,1.3335,2318
2016-07-01 05:20:00,1.3334,1.334,1.3333,1.3339,1769
2016-07-01 05:25:00,1.3338,1.334,1.3333,1.3339,1431
2016-07-01 05:30:00,1.3338,1.3342,1.3335,1.3341,1892
2016-07-01 05:35:00,1.3341,1.3343,1.3336,1.3341,1900
2016-07-01 05:40:00,1.3342,1.3342,1.3337,1.3341,1431
2016-07-01 05:45:00,1.3341,1.3344,1.3336,1.3343,2367
2016-07-01 05:50:00,1.3338,1.3344,1.3335,1.3342,1964
2016-07-01 05:55:00,1.3342,1.3344,1.3336,1.3344,1695
2016-07-01 06:00:00,1.3344,1.3347,1.3336,1.3347,1498
2016-07-01 06:05:00,1.3346,1.3347,1.3335,1.3341,2388
2016-07-01 06:10:00,1.3342,1.3343,1.3335,1.3342,1483
2016-07-01 06:15:00,1.3341,1.3346,1.3338,1.3342,2856
2016-07-01 06:20:00,1.3341,1.3342,1.3338,1.334,1538
2016-07-01 06:25:00,1.3339,1.3342,1.3335,1.3338,2188
2016-07-01 06:30:00,1.3339,1.3341,1.3335,1.3337,2796
2016-07-01 06:35:00,1.3336,1.3342,1.3331,1.3334,3168
2016-07-01 06:40:00,1.3334,1.3341,1.3326,1.333,3453
2016-07-01 06:45:00,1.333,1.3342,1.3329,1.3342,2336
2016-07-01 06:50:00,1.3342,1.3342,1.3329,1.3333,1855
2016-07-01 06:55:00,1.3333,1.3342,1.3328,1.3332,2293
2016-07-01 07:00:00,1.3333,1.3333,1.3324,1.3327,2253
2016-07-01 07:05:00,1.3327,1.3328,1.3319,1.3322,2706
2016-07-01 07:10:00,1.3321,1.3325,1.3314,1.3315,3027
2016-07-01 07:15:00,1.3316,1.3325,1.3311,1.3324,2419
2016-07-01 07:20:00,1.3323,1.3326,1.3314,1.3324,2394
2016-07-01 07:25:00,1.3325,1.3328,1.3314,1.3315,2405
2016-07-01 07:30:00,1.3316,1.3325,1.3315,1.3324,1995
2016-07-01 07:35:00,1.3324,1.3325,1.3315,1.3317,2034
2016-07-01 07:40:00,1.3317,1.3326,1.3314,1.3324,2196
2016-07-01 07:45:00,1.3325,1.3329,1.3321,1.3328,2107
2016-07-01 07:50:00,1.3327,1.3341,1.3324,1.3331,1562
2016-07-01 07:55:00,1.3331,1.3342,1.3324,1.3333,2351
2016-07-01 08:00:00,1.3333,1.3342,1.3323,1.3325,1793
2016-07-01 08:05:00,1.3326,1.3327,1.3318,1.3322,2475
2016-07-01 08:10:00,1.3322,1.3323,1.3315,1.3318,2454
2016-07-01 08:15:00,1.3318,1.3319,1.3311,1.3314,2763
2016-07-01 08:20:00,1.3314,1.3317,1.3311,1.3315,1881
2016-07-01 08:25:00,1.3316,1.3317,1.3313,1.3316,1386
2016-07-01 08:30:00,1.3316,1.332,1.3314,1.3319,2219
2016-07-01 08:35:00,1.3319,1.332,1.3314,1.3317,2237
2016-07-01 08:40:00,1.3318,1.3319,1.3312,1.3313,2470
2016-07-01 08:45:00,1.3313,1.3315,1.3299,1.3312,4927
2016-07-01 08:50:00,1.3311,1.3315,1.3302,1.3306,4544
2016-07-01 08:55:00,1.3306,1.3307,1.3294,1.3298,5014
2016-07-01 09:00:00,1.3299,1.3299,1.328,1.3282,6692
2016-07-01 09:05:00,1.3283,1.3292,1.3278,1.3289,6320
2016-07-01 09:10:00,1.329,1.3293,1.3282,1.3292,5594
2016-07-01 09:15:00,1.3293,1.3293,1.3262,1.3265,7799
2016-07-01 09:20:00,1.3268,1.3273,1.326,1.3272,7193
2016-07-01 09:25:00,1.3273,1.3288,1.3269,1.3274,7414
2016-07-01 09:30:00,1.3274,1.329,1.3269,1.3285,6588
2016-07-01 09:35:00,1.3288,1.3293,1.3275,1.3292,4916
2016-07-01 09:40:00,1.3292,1.3297,1.3287,1.329,5548
2016-07-01 09:45:00,1.3288,1.3304,1.3286,1.3302,5902
2016-07-01 09:50:00,1.3301,1.331,1.3297,1.3303,5553
2016-07-01 09:55:00,1.3303,1.3305,1.3288,1.3293,6123
2016-07-01 10:00:00,1.3293,1.3305,1.3288,1.3298,7782
2016-07-01 10:05:00,1.3298,1.3316,1.3297,1.3311,8347
2016-07-01 10:10:00,1.331,1.3316,1.3303,1.3313,8601
2016-07-01 10:15:00,1.3313,1.3313,1.3303,1.3305,5396
2016-07-01 10:20:00,1.3304,1.3308,1.3292,1.3296,7434
2016-07-01 10:25:00,1.3295,1.3298,1.3282,1.3287,7836
2016-07-01 10:30:00,1.3286,1.33,1.3285,1.3292,6865
2016-07-01 10:35:00,1.3292,1.3293,1.3271,1.328,10441
2016-07-01 10:40:00,1.328,1.3294,1.3274,1.3289,11172
2016-07-01 10:45:00,1.3288,1.3301,1.328,1.3285,8200
2016-07-01 10:50:00,1.3285,1.329,1.3275,1.3289,6848
2016-07-01 10:55:00,1.3289,1.3294,1.328,1.3292,7661
2016-07-01 11:00:00,1.3292,1.3322,1.3288,1.3317,10093
2016-07-01 11:05:00,1.3318,1.3321,1.3295,1.3298,9871
2016-07-01 11:10:00,1.3298,1.3301,1.3281,1.3285,8766
2016-07-01 11:15:00,1.3286,1.3307,1.3284,1.3296,8000
2016-07-01 11:20:00,1.3298,1.33,1.3287,1.3297,8239
2016-07-01 11:25:00,1.3296,1.3317,1.3292,1.3306,7399
2016-07-01 11:30:00,1.3305,1.3324,1.3301,1.3308,9464
2016-07-01 11:35:00,1.3308,1.3321,1.3303,1.3315,7567
2016-07-01 11:40:00,1.3316,1.3316,1.3306,1.3309,7707
2016-07-01 11:45:00,1.3308,1.3316,1.3298,1.3304,8233
2016-07-01 11:50:00,1.3304,1.3307,1.33,1.3304,5477
2016-07-01 11:55:00,1.3303,1.3311,1.33,1.3302,5612
2016-07-01 12:00:00,1.3301,1.3307,1.3292,1.33,7723
2016-07-01 12:05:00,1.33,1.3311,1.3296,1.331,6335
2016-07-01 12:10:00,1.331,1.3313,1.3303,1.3306,8272
2016-07-01 12:15:00,1.3305,1.3308,1.3297,1.3301,7321
2016-07-01 12:20:00,1.3302,1.3304,1.3292,1.3295,5829
2016-07-01 12:25:00,1.3295,1.3306,1.3288,1.3303,6440
2016-07-01 12:30:00,1.3305,1.3306,1.3295,1.3303,6452
2016-07-01 12:35:00,1.3303,1.3305,1.3293,1.3297,6664
2016-07-01 12:40:00,1.3299,1.3306,1.3297,1.3306,7206
2016-07-01 12:45:00,1.3305,1.3314,1.3302,1.3311,7763
2016-07-01 12:50:00,1.3311,1.3322,1.3305,1.3321,8488
2016-07-01 12:55:00,1.3319,1.3321,1.3306,1.3307,6674
2016-07-01 13:00:00,1.3307,1.3314,1.3292,1.3297,7778
2016-07-01 13:05:00,1.3296,1.3303,1.3281,1.3284,7779
2016-07-01 13:10:00,1.3286,1.3292,1.3279,1.3283,7868
2016-07-01 13:15:00,1.3282,1.3289,1.3263,1.3265,8709
2016-07-01 13:20:00,1.3266,1.3274,1.3263,1.3266,6766
2016-07-01 13:25:00,1.3266,1.327,1.3249,1.3266,9269
2016-07-01 13:30:00,1.3266,1.3274,1.3261,1.3266,7529
2016-07-01 13:35:00,1.3266,1.3279,1.3263,1.3277,6422
2016-07-01 13:40:00,1.3278,1.3279,1.3268,1.3271,5438
2016-07-01 13:45:00,1.3271,1.3278,1.3264,1.3272,6068
2016-07-01 13:50:00,1.3272,1.3289,1.3266,1.3285,7267
2016-07-01 13:55:00,1.3286,1.329,1.328,1.3286,6324
2016-07-01 14:00:00,1.3286,1.3303,1.328,1.3303,8282
2016-07-01 14:05:00,1.3302,1.3307,1.3296,1.3302,7742
2016-07-01 14:10:00,1.3303,1.3303,1.3287,1.329,6324
2016-07-01 14:15:00,1.3291,1.3294,1.3286,1.3291,6142
2016-07-01 14:20:00,1.3291,1.3302,1.3288,1.33,6130
2016-07-01 14:25:00,1.33,1.3303,1.3292,1.3302,5608
2016-07-01 14:30:00,1.3303,1.3304,1.3294,1.3299,6558
2016-07-01 14:35:00,1.3298,1.3301,1.3288,1.3295,7067
2016-07-01 14:40:00,1.3293,1.3302,1.3291,1.3299,4278
2016-07-01 14:45:00,1.3316,1.3316,1.3309,1.3311,2323
2016-07-01 14:50:00,1.331,1.3311,1.3302,1.3304,6938
2016-07-01 14:55:00,1.3305,1.3305,1.3288,1.3291,8485
2016-07-01 15:00:00,1.3289,1.3296,1.3285,1.3286,8356
2016-07-01 15:05:00,1.3286,1.3292,1.3273,1.3277,7779
2016-07-01 15:10:00,1.3276,1.329,1.3265,1.3283,11013
2016-07-01 15:15:00,1.3283,1.3289,1.3277,1.328,7078
2016-07-01 15:20:00,1.3279,1.3289,1.3275,1.3288,7894
2016-07-01 15:25:00,1.3288,1.3297,1.3284,1.3295,6793
2016-07-01 15:30:00,1.3295,1.3307,1.3293,1.33,8052
2016-07-01 15:35:00,1.33,1.3305,1.3294,1.3298,8105
2016-07-01 15:40:00,1.3298,1.3307,1.3295,1.3305,7600
2016-07-01 15:45:00,1.3305,1.3308,1.3299,1.3304,6841
2016-07-01 15:50:00,1.3306,1.3308,1.33,1.3303,5890
2016-07-01 15:55:00,1.3302,1.3307,1.3291,1.3295,5853
2016-07-01 16:00:00,1.3295,1.3301,1.3289,1.3299,7322
2016-07-01 16:05:00,1.33,1.3309,1.3293,1.3307,7394
2016-07-01 16:10:00,1.3307,1.3315,1.3305,1.3314,7061
2016-07-01 16:15:00,1.3313,1.3327,1.3309,1.3323,9149
2016-07-01 16:20:00,1.3324,1.3339,1.331,1.3335,9019
2016-07-01 16:25:00,1.3336,1.3338,1.3325,1.3326,11817
2016-07-01 16:30:00,1.3327,1.3328,1.3319,1.3327,10541
2016-07-01 16:35:00,1.3326,1.3337,1.3323,1.3335,9471
2016-07-01 16:40:00,1.3335,1.334,1.333,1.3337,8076
2016-07-01 16:45:00,1.3337,1.3338,1.3318,1.3326,9861
2016-07-01 16:50:00,1.3326,1.3333,1.3318,1.3327,6748
2016-07-01 16:55:00,1.3328,1.3336,1.3317,1.3325,8079
2016-07-01 17:00:00,1.3327,1.3331,1.3314,1.3327,11546
